serie,base100_apres,annualise_apres,rotation_annuelle_apres,cout_annualise_pb_apres,repli_maximal_apres,base100_avant,annualise_avant,rotation_annuelle_avant,cout_annualise_pb_avant,repli_maximal_avant,ecart_annualise_pb
P1_reeq,9066.919812354085,0.1845027025518166,0.242243440874569,2.8700404096682064,-0.5392207746140105,9057.000496074555,0.1844539952304291,0.2424192352832471,2.8720054973896403,-0.5389589985250633,0.48707321387508884
P1_cons,11029.560961250942,0.1932541585803056,0.0418053157673547,0.4988590633292489,-0.5408051452166059,11043.612263675624,0.1933112318420584,0.0419447142172276,0.5005464833729434,-0.5409784350164588,-0.5707326175280469
P10_reeq,3849.9206852238863,0.146993087062824,0.1813263144430144,2.08018812797528,-0.5962869250940896,3849.9206852238863,0.146993087062824,0.1813263144430144,2.08018812797528,-0.5962869250940896,0.0
P10_cons,6239.950654358283,0.1679916053324874,0.0214559362852484,0.2506129849710881,-0.6333864918127748,6239.950654358283,0.1679916053324874,0.0214559362852484,0.2506129849710881,-0.6333864918127748,0.0
P2_reeq,10327.622211516378,0.1903101042034707,0.2539272550706246,3.023241257815723,-0.5751894292285784,10310.305358972637,0.1902350652290281,0.2541493039307173,3.025694759901665,-0.5749190381767821,0.7503897444258167
P2_cons,12016.908083989998,0.1971036327017838,0.0430581155452452,0.5154671707630065,-0.5669769968240648,12033.254566593523,0.1971647672470355,0.0431990292646627,0.5171805598735979,-0.5669311278077973,-0.6113454525169537
P3_reeq,2963.1471732226755,0.1357676042656894,0.1421572361518203,1.6148274461325052,-0.4618283358884899,2968.2396971550384,0.135840872867047,0.1422141744477821,1.6155785893956498,-0.4618283358884899,-0.7326860135759006
P3_cons,4781.457885716207,0.1563683177047252,0.0336010201947753,0.388566268079149,-0.4739468510974566,4785.087825474958,0.1564012850627851,0.0337402765289816,0.3901878330014874,-0.4740064921956111,-0.3296735805990991
P4_reeq,14065.186028087646,0.2042026036672544,0.2968059186422194,3.5753320071996164,-0.7002506607547321,14065.186028087646,0.2042026036672544,0.2968059186422194,3.5753320071996164,-0.7002506607547321,0.0
P4_cons,6679.444462734068,0.1709818776461347,0.056237529532555,0.6586736421176909,-0.7496389958776146,6679.444462734068,0.1709818776461347,0.056237529532555,0.6586736421176909,-0.7496389958776146,0.0
P5_reeq,16006.494743379042,0.2100657870850504,0.3006434459384776,3.639027653934424,-0.7383251581667395,16006.494743379042,0.2100657870850504,0.3006434459384776,3.639027653934424,-0.7383251581667395,0.0
P5_cons,27343.228524420345,0.2346542082885958,0.0447131096859459,0.5520839975758918,-0.7407015172152703,27343.228524420345,0.2346542082885958,0.0447131096859459,0.5520839975758918,-0.7407015172152703,0.0
P6_reeq,1950.5806093858023,0.1180666561610661,0.1322951725274399,1.4793582224004176,-0.4529942213534585,1954.113071330878,0.1181426556337696,0.1323382113652474,1.4799401555887215,-0.4529942213534587,-0.7599947270350849
P6_cons,1800.6118800579366,0.1147114776450761,0.0443460571369082,0.4943538655655111,-0.4504461447088006,1804.2457021900357,0.1147959067340185,0.0444589523169077,0.4956499728803187,-0.4504946637613538,-0.8442908894240597
P7_reeq,9810.415672305078,0.1880149021440655,0.1822529883566964,2.165572325625309,-0.5494591649445979,9725.853841726508,0.18762860259333,0.1830832703389632,2.174732429534032,-0.5485814059422782,3.862995507354916
P7_cons,9044.526216807057,0.1843926692129756,0.0364148292603945,0.4313178996451228,-0.5458370779597153,9078.736132209571,0.1845606579361891,0.0369327762739618,0.4375148053248345,-0.5467127227048352,-1.679887232134969
P8_reeq,6360.13659136445,0.1688289921375985,0.2313964001276603,2.7053357256057176,-0.6173783467449931,6360.13659136445,0.1688289921375985,0.2313964001276603,2.7053357256057176,-0.6173783467449931,0.0
P8_cons,2597.8272413822733,0.1301674182917287,0.0683764997790613,0.7728745765089862,-0.6358579274853486,2597.8272413822733,0.1301674182917287,0.0683764997790613,0.7728745765089862,-0.6358579274853486,0.0
P9_reeq,2707.965348409168,0.131931703363727,0.177759067132372,2.012474485018068,-0.8234294985370585,2707.965348409168,0.131931703363727,0.177759067132372,2.012474485018068,-0.8234294985370585,0.0
P9_cons,2397.5455282444022,0.1267662179653808,0.0297835272327758,0.335622152136672,-0.8308020239969871,2397.5455282444022,0.1267662179653808,0.0297835272327758,0.335622152136672,-0.8308020239969871,0.0
