date,nasdaq,yahoo,split,div,rn,ry,ecart_r,ratio_prix,titre
2016-09-06,12.84,12.84000015258789,0.0,0.0,,,,1.0000000118837922,AES
2016-09-07,13.03,13.029999732971191,0.0,0.0,0.014797507788161912,0.014797474931883547,3.2856278364690183e-08,0.9999999795066149,AES
2016-09-08,12.95,12.949999809265137,0.0,0.0,-0.006139677666922472,-0.006139671937492208,-5.729430263556878e-09,0.9999999852714392,AES
2016-09-09,12.33,12.329999923706056,0.0,0.0,-0.04787644787644785,-0.04787643974446232,-8.131985529402641e-09,0.9999999938123322,AES
2016-09-12,12.59,12.59000015258789,0.0,0.0,0.02108678021086785,0.021086798904349502,-1.8693481651510524e-08,1.000000012119769,AES
2016-09-13,12.39,12.390000343322754,0.0,0.0,-0.015885623510722757,-0.015885608168481724,-1.534224103316717e-08,1.0000000277096652,AES
2016-09-14,12.32,12.31999969482422,0.0,0.0,-0.005649717514124353,-0.005649769698049978,5.2183925625115535e-08,0.9999999752292387,AES
2016-09-15,12.55,12.550000190734863,0.0,0.0,0.018668831168831224,0.01866887188376065,-4.0714929427920765e-08,1.000000015197997,AES
2016-09-16,12.54,12.539999961853027,0.0,0.0,-0.0007968127490041166,-0.0007968309744902369,1.822548612029351e-08,0.9999999969579767,AES
2016-09-19,12.7,12.699999809265137,0.0,0.0,0.012759170653907415,0.012759158524627834,1.2129279580719299e-08,0.9999999849815069,AES
2016-09-20,12.78,12.779999732971191,0.0,0.0,0.006299212598425141,0.006299206685632441,5.912792699902525e-09,0.9999999791057271,AES
2016-09-21,13.1,13.100000381469728,0.0,0.0,0.025039123630672844,0.02503917489708285,-5.12664100060789e-08,1.0000000291198266,AES
2016-09-22,13.19,13.1899995803833,0.0,0.0,0.006870229007633677,0.0068701676559397296,6.135169394738682e-08,0.9999999681867552,AES
2016-09-23,13.26,13.260000228881836,0.0,0.0,0.005307050796057533,0.005307100130817588,-4.933476005497539e-08,1.0000000172610737,AES
2016-09-26,13.12,13.119999885559082,0.0,0.0,-0.010558069381598867,-0.01055809509096517,2.5709366302528736e-08,0.9999999912773692,AES
2016-09-27,13.08,13.079999923706056,0.0,0.0,-0.0030487804878047697,-0.0030487776068544026,-2.8809503671567427e-09,0.9999999941671297,AES
2016-09-28,13.15,13.149999618530272,0.0,0.0,0.005351681957186605,0.00535165865692,2.3300266605019715e-08,0.9999999709908951,AES
2016-09-29,12.9,12.899999618530272,0.0,0.0,-0.019011406844106515,-0.019011407395610358,5.515038425940588e-10,0.9999999704287033,AES
2016-09-30,12.85,12.850000381469728,0.0,0.0,-0.003875968992248069,-0.00387590996427023,-5.902797783896574e-08,1.0000000296863603,AES
2016-10-03,12.47,12.470000267028809,0.0,0.0,-0.02957198443579756,-0.02957199246382103,8.028023468220624e-09,1.0000000214136975,AES
2016-10-04,11.95,11.949999809265137,0.0,0.0,-0.041700080192461964,-0.04170011600870405,3.581624208326417e-08,0.9999999840389237,AES
2016-10-05,11.86,11.859999656677246,0.0,0.0,-0.007531380753138084,-0.007531393642208339,1.2889070255539536e-08,0.9999999710520444,AES
2016-10-06,11.66,11.65999984741211,0.0,0.0,-0.01686340640809436,-0.01686339081405752,-1.5594036839594594e-08,0.99999998691356,AES
2016-10-07,11.59,11.59000015258789,0.0,0.0,-0.006003430531732468,-0.006003404437415538,-2.6094316929459183e-08,1.000000013165478,AES
2016-10-10,11.67,11.670000076293944,0.0,0.0,0.00690250215703192,0.006902495483418036,6.67361388373422e-09,1.000000006537613,AES
2016-10-11,11.52,11.520000457763672,0.0,0.0,-0.01285347043701801,-0.012853437664921308,-3.27720967030487e-08,1.00000003973643,AES
2016-10-12,11.67,11.670000076293944,0.0,0.0,0.01302083333333326,0.01302079970224157,3.363109168930123e-08,1.000000006537613,AES
2016-10-13,11.73,11.729999542236328,0.0,0.0,0.005141388174807249,0.005141342377903202,4.579690404682424e-08,0.999999960974964,AES
2016-10-14,11.57,11.56999969482422,0.0,0.0,-0.013640238704177299,-0.013640226228142205,-1.2476035093911264e-08,0.9999999736235281,AES
2016-10-17,11.71,11.710000038146973,0.0,0.0,0.012100259291270676,0.012100289283964338,-2.999269366199542e-08,1.0000000032576406,AES
2016-10-18,11.87,11.869999885559082,0.0,0.0,0.013663535439794927,0.013663522364721459,1.3075073468371556e-08,0.9999999903588107,AES
2016-10-19,12.12,12.119999885559082,0.0,0.0,0.021061499578769904,0.02106149978182792,-2.0305801484710173e-10,0.9999999905576801,AES
