date,nasdaq,yahoo,split,div,rn,ry,ecart_r,ratio_prix,titre
2018-12-21,21.4289,28.83051872253418,0.0,0.0,-0.062815982366216,-0.00657577324354186,-0.056240209122674134,1.345403577530073,DELL
2018-12-24,21.4289,22.59181022644043,0.0,0.0,0.0,-0.21639251642106327,0.21639251642106327,1.0542683117864393,DELL
2018-12-26,22.8195,22.768617630004883,0.0,0.0,0.06489367163036852,0.007826172484289184,0.05706749914607934,0.9977702241506116,DELL
2018-12-27,22.662,22.451488494873047,0.0,0.0,-0.006901991717610079,-0.013928343840862722,0.007026352123252644,0.9907108152357712,DELL
2018-12-28,23.0837,23.025848388671875,1.806,0.0,0.0186082428735328,0.025582263462397448,-0.006974020588864649,0.9974938328202096,DELL
2019-08-13,25.1619,25.098833084106445,0.0,0.0,0.00020272848692992618,0.0012130343327594328,-0.0010103058458295067,0.997493555101421,DELL
2021-11-02,54.61,54.61000061035156,1.973,0.0,-0.03618072714436993,-0.03375904175075173,-0.0024216853936182003,1.000000011176553,DELL
2021-07-01,111.88,111.87999725341795,1.175,0.0,0.005211141060197599,0.014344091494181699,-0.0091329504339841,0.9999999754506432,DTE
2024-01-02,21.2682,22.833459854125977,0.0,0.0,-0.0400920723038386,-0.005252804348555906,-0.03483926795528269,1.0735962542258384,FLEX
2024-01-03,23.74,23.739999771118164,1.327,0.0,0.11622046059375024,0.03970225812398631,0.07651820246976393,0.9999999903588107,FLEX
2017-04-03,13.7466,13.63072109222412,1.3348,0.0,-0.023893886999311165,-0.010445714754133473,-0.013448172245177692,0.9915703586504385,HPE
2017-09-01,14.31,14.3100004196167,1.289,0.0,0.01273885350318471,0.021350509034062215,-0.008611655530877504,1.0000000293233193,HPE
2021-11-04,120.85,120.8499984741211,1.046,0.0,-0.01787891101178385,-0.005670609613602551,-0.012208301398181298,0.9999999873737783,IBM
2016-10-31,40.32,40.31999969482422,0.0,4.7,0.026215321964876637,-0.07861057492354262,0.10482589688841926,0.9999999924311562,JCI
2024-04-01,94.02,94.0199966430664,1.196,0.0,0.03261943986820426,0.06012927439568827,-0.02750983452748401,0.9999999642955373,MMM
2021-11-15,71.14,71.13999938964844,1.032,0.0,-0.003222642566904965,0.009299950295198034,-0.012522592862103,0.9999999914204166,O
2019-10-11,1.876,1.8910000324249268,0.0,0.0,-0.012631578947368438,-0.004736812550605096,-0.007894766396763342,1.007995752891752,SMCI
2019-10-14,1.875,1.875,0.0,0.0,-0.0005330490405116572,-0.008461148678252095,0.007928099637740438,1.0,SMCI
2020-01-14,2.7,2.7720000743865967,0.0,0.0,-0.052963872325499706,-0.02770957356358661,-0.025254298761913097,1.026666694217258,SMCI
2020-01-15,2.77,2.7699999809265137,0.0,0.0,0.025925925925925908,-0.0007215344178970184,0.026647460343822926,0.9999999931142649,SMCI
2026-04-20,710.14,708.719970703125,0.0,0.0,0.0,-0.001999667552905704,0.001999667552905704,0.9980003530333807,SPY
2026-04-21,704.08,704.0800170898438,0.0,0.0,-0.008533528599994344,-0.006546949154936255,-0.00198657944505809,1.000000024272588,SPY
2019-08-12,10.23,10.1899995803833,0.0,0.0,0.003925417075564264,0.0,0.003925417075564264,0.9960898905555523,VRT
2019-08-13,10.23,10.229999542236328,0.0,0.0,0.0,0.003925413493640395,-0.003925413493640395,0.9999999552528179,VRT
2023-02-16,16.03,16.149999618530273,0.0,0.0,-0.002489110143123807,0.0049782156331852345,-0.007467325776309042,1.0074859400206033,VRT
2023-02-17,16.06,16.059999465942383,0.0,0.0,0.0018714909544601532,-0.005572764997754276,0.007444255952214429,0.9999999667461011,VRT
2025-02-24,49.02,49.02000045776367,1.323,0.0,-0.06823797757080396,-0.05612779893830433,-0.012110178632499635,1.0000000093383041,WDC
2016-10-03,140.57,140.57000732421875,1.081,0.0,0.00522025171624696,0.01075011396781922,-0.0055298622515722595,1.0000000521037118,APD
2017-01-17,106.39,105.56999969482422,0.0,0.0,0.007767358150989834,0.0,0.007767358150989834,0.9922925058259632,SBAC
2017-01-18,107.06,107.05999755859376,0.0,0.0,0.0062975843594323955,0.014113837909223603,-0.007816253549791208,0.9999999771959066,SBAC
2018-11-13,18.56,18.559999465942383,1.837,0.0,-0.01746956061408167,-0.01574140504577448,-0.001728155568307188,0.999999971225344,EQT
