fichier,symbole,symbole_declare,devise,place,type,fuseau,nom,premiere_transaction,collecte_le
GOOGL.csv,GOOGL,GOOGL,USD,NasdaqGS,EQUITY,EDT,Alphabet Inc.,2004-08-19,2026-09-08
HAL.csv,HAL,HAL,USD,NYSE,EQUITY,EDT,Halliburton Company,1972-06-01,2026-09-08
HPE.csv,HPE,HPE,USD,NYSE,EQUITY,EDT,Hewlett Packard Enterprise Company,2015-10-19,2026-09-08
HUBB.csv,HUBB,HUBB,USD,NYSE,EQUITY,EDT,Hubbell Incorporated,1972-06-05,2026-09-08
HWM.csv,HWM,HWM,USD,NYSE,EQUITY,EDT,Howmet Aerospace Inc.,2016-11-01,2026-09-08
IBM.csv,IBM,IBM,USD,NYSE,EQUITY,EDT,International Business Machines Corporation,1962-01-02,2026-09-08
IEX.csv,IEX,IEX,USD,NYSE,EQUITY,EDT,IDEX Corporation,1989-06-02,2026-09-08
INTC.csv,INTC,INTC,USD,NasdaqGS,EQUITY,EDT,Intel Corporation,1980-03-17,2026-09-08
IRM.csv,IRM,IRM,USD,NYSE,EQUITY,EDT,Iron Mountain Incorporated,1996-02-01,2026-09-08
JBL.csv,JBL,JBL,USD,NYSE,EQUITY,EDT,Jabil Inc.,1993-05-03,2026-09-08
JCI.csv,JCI,JCI,USD,NYSE,EQUITY,EDT,Johnson Controls International plc,1987-09-28,2026-09-08
KEYS.csv,KEYS,KEYS,USD,NYSE,EQUITY,EDT,"Keysight Technologies, Inc.",2014-10-20,2026-09-08
KLAC.csv,KLAC,KLAC,USD,NasdaqGS,EQUITY,EDT,KLA Corporation,1980-10-08,2026-09-08
LII.csv,LII,LII,USD,NYSE,EQUITY,EDT,Lennox International Inc.,1999-07-29,2026-09-08
LITE.csv,LITE,LITE,USD,NasdaqGS,EQUITY,EDT,Lumentum Holdings Inc.,2015-07-23,2026-09-08
LNT.csv,LNT,LNT,USD,NasdaqGS,EQUITY,EDT,Alliant Energy Corporation,1973-02-21,2026-09-08
LRCX.csv,LRCX,LRCX,USD,NasdaqGS,EQUITY,EDT,Lam Research Corporation,1984-05-04,2026-09-08
MCHP.csv,MCHP,MCHP,USD,NasdaqGS,EQUITY,EDT,Microchip Technology Incorporated,1993-03-19,2026-09-08
META.csv,META,META,USD,NasdaqGS,EQUITY,EDT,"Meta Platforms, Inc.",2012-05-18,2026-09-08
MLM.csv,MLM,MLM,USD,NYSE,EQUITY,EDT,"Martin Marietta Materials, Inc.",1994-02-17,2026-09-08
MMM.csv,MMM,MMM,USD,NYSE,EQUITY,EDT,3M Company,1962-01-02,2026-09-08
MPWR.csv,MPWR,MPWR,USD,NasdaqGS,EQUITY,EDT,"Monolithic Power Systems, Inc.",2004-11-19,2026-09-08
MRVL.csv,MRVL,MRVL,USD,NasdaqGS,EQUITY,EDT,"Marvell Technology, Inc.",2000-06-30,2026-09-08
MSFT.csv,MSFT,MSFT,USD,NasdaqGS,EQUITY,EDT,Microsoft Corporation,1986-03-13,2026-09-08
MU.csv,MU,MU,USD,NasdaqGS,EQUITY,EDT,"Micron Technology, Inc.",1984-06-01,2026-09-08
NI.csv,NI,NI,USD,NYSE,EQUITY,EDT,NiSource Inc.,1973-02-21,2026-09-08
NRG.csv,NRG,NRG,USD,NYSE,EQUITY,EDT,"NRG Energy, Inc.",2003-12-02,2026-09-08
NTAP.csv,NTAP,NTAP,USD,NasdaqGS,EQUITY,EDT,"NetApp, Inc.",1995-11-21,2026-09-08
NUE.csv,NUE,NUE,USD,NYSE,EQUITY,EDT,Nucor Corporation,1980-03-17,2026-09-08
NVDA.csv,NVDA,NVDA,USD,NasdaqGS,EQUITY,EDT,NVIDIA Corporation,1999-01-22,2026-09-08
O.csv,O,O,USD,NYSE,EQUITY,EDT,Realty Income Corporation,1994-10-18,2026-09-08
ON.csv,ON,ON,USD,NasdaqGS,EQUITY,EDT,ON Semiconductor Corporation,2000-05-02,2026-09-08
ORCL.csv,ORCL,ORCL,USD,NYSE,EQUITY,EDT,Oracle Corporation,1986-03-12,2026-09-08
PLD.csv,PLD,PLD,USD,NYSE,EQUITY,EDT,"Prologis, Inc.",1997-11-21,2026-09-08
PNW.csv,PNW,PNW,USD,NYSE,EQUITY,EDT,Pinnacle West Capital Corporation,1973-02-21,2026-09-08
PPL.csv,PPL,PPL,USD,NYSE,EQUITY,EDT,PPL Corporation,1980-03-17,2026-09-08
PWR.csv,PWR,PWR,USD,NYSE,EQUITY,EDT,"Quanta Services, Inc.",1998-02-12,2026-09-08
Q.csv,Q,Q,USD,NYSE,EQUITY,EDT,"Qnity Electronics, Inc.",2025-10-27,2026-09-08
SLB.csv,SLB,SLB,USD,NYSE,EQUITY,EDT,SLB N.V.,1981-12-31,2026-09-08
SMCI.csv,SMCI,SMCI,USD,NasdaqGS,EQUITY,EDT,"Super Micro Computer, Inc.",2007-03-29,2026-09-08
SNDK.csv,SNDK,SNDK,USD,NasdaqGS,EQUITY,EDT,Sandisk Corporation,2025-02-13,2026-09-08
SNPS.csv,SNPS,SNPS,USD,NasdaqGS,EQUITY,EDT,"Synopsys, Inc.",1992-02-26,2026-09-08
SO.csv,SO,SO,USD,NYSE,EQUITY,EDT,The Southern Company,1981-12-31,2026-09-08
SRE.csv,SRE,SRE,USD,NYSE,EQUITY,EDT,Sempra,1998-06-29,2026-09-08
STLD.csv,STLD,STLD,USD,NasdaqGS,EQUITY,EDT,"Steel Dynamics, Inc.",1996-11-22,2026-09-08
STX.csv,STX,STX,USD,NasdaqGS,EQUITY,EDT,Seagate Technology Holdings plc,2002-12-11,2026-09-08
SWKS.csv,SWKS,SWKS,USD,NasdaqGS,EQUITY,EDT,"Skyworks Solutions, Inc.",1984-09-07,2026-09-08
TDY.csv,TDY,TDY,USD,NYSE,EQUITY,EDT,Teledyne Technologies Incorporated,1999-11-23,2026-09-08
TEL.csv,TEL,TEL,USD,NYSE,EQUITY,EDT,TE Connectivity plc,2007-06-14,2026-09-08
TER.csv,TER,TER,USD,NasdaqGS,EQUITY,EDT,"Teradyne, Inc.",1973-02-21,2026-09-08
TPL.csv,TPL,TPL,USD,NYSE,EQUITY,EDT,Texas Pacific Land Corporation,1980-03-17,2026-09-08
TSLA.csv,TSLA,TSLA,USD,NasdaqGS,EQUITY,EDT,"Tesla, Inc.",2010-06-29,2026-09-08
TT.csv,TT,TT,USD,NYSE,EQUITY,EDT,Trane Technologies plc,1980-03-17,2026-09-08
TXN.csv,TXN,TXN,USD,NasdaqGS,EQUITY,EDT,Texas Instruments Incorporated,1972-06-01,2026-09-08
VMC.csv,VMC,VMC,USD,NYSE,EQUITY,EDT,Vulcan Materials Company,1973-02-21,2026-09-08
VRT.csv,VRT,VRT,USD,NYSE,EQUITY,EDT,Vertiv Holdings Co,2018-08-02,2026-09-08
VST.csv,VST,VST,USD,NYSE,EQUITY,EDT,Vistra Corp.,2016-10-05,2026-09-08
WDC.csv,WDC,WDC,USD,NasdaqGS,EQUITY,EDT,Western Digital Corporation,1978-10-31,2026-09-08
WEC.csv,WEC,WEC,USD,NYSE,EQUITY,EDT,"WEC Energy Group, Inc.",1980-03-17,2026-09-08
WMB.csv,WMB,WMB,USD,NYSE,EQUITY,EDT,"The Williams Companies, Inc.",1981-12-31,2026-09-08
XEL.csv,XEL,XEL,USD,NasdaqGS,EQUITY,EDT,Xcel Energy Inc.,1973-02-21,2026-09-08
XYL.csv,XYL,XYL,USD,NYSE,EQUITY,EDT,Xylem Inc.,2011-10-13,2026-09-08
GSPC.csv,^GSPC,^GSPC,USD,SNP,INDEX,EDT,S&P 500,1927-12-30,2026-09-08
RSP.csv,RSP,RSP,USD,NYSEArca,ETF,EDT,Invesco S&P 500 Equal Weight ETF,2003-05-01,2026-09-08
SP500TR.csv,^SP500TR,^SP500TR,USD,SNP,INDEX,EDT,S&P 500 (TR),1988-01-04,2026-09-08
SPXEW.csv,^SPXEW,^SPXEW,USD,NYSE,INDEX,EDT,S&P 500 EQUAL WEIGHTED,2006-12-08,2026-09-08
SPY.csv,SPY,SPY,USD,NYSEArca,ETF,EDT,State Street SPDR S&P 500 ETF Trust,1993-01-29,2026-09-08
ACN.csv,ACN,ACN,USD,NYSE,EQUITY,EDT,Accenture plc,2001-07-19,2026-09-08
APD.csv,APD,APD,USD,NYSE,EQUITY,EDT,"Air Products and Chemicals, Inc.",1980-03-17,2026-09-08
APP.csv,APP,APP,USD,NasdaqGS,EQUITY,EDT,AppLovin Corporation,2021-04-15,2026-09-08
EMR.csv,EMR,EMR,USD,NYSE,EQUITY,EDT,Emerson Electric Co.,1972-06-01,2026-09-08
EXPD.csv,EXPD,EXPD,USD,NYSE,EQUITY,EDT,"Expeditors International of Washington, Inc.",1984-09-26,2026-09-08
FSLR.csv,FSLR,FSLR,USD,NasdaqGS,EQUITY,EDT,"First Solar, Inc.",2006-11-17,2026-09-08
HD.csv,HD,HD,USD,NYSE,EQUITY,EDT,"The Home Depot, Inc.",1981-09-22,2026-09-08
ITW.csv,ITW,ITW,USD,NYSE,EQUITY,EDT,Illinois Tool Works Inc.,1973-03-13,2026-09-08
LDOS.csv,LDOS,LDOS,USD,NYSE,EQUITY,EDT,"Leidos Holdings, Inc.",2006-10-17,2026-09-08
NDAQ.csv,NDAQ,NDAQ,USD,NasdaqGS,EQUITY,EDT,"Nasdaq, Inc.",2002-07-01,2026-09-08
NDSN.csv,NDSN,NDSN,USD,NasdaqGS,EQUITY,EDT,Nordson Corporation,1980-03-18,2026-09-08
NEE.csv,NEE,NEE,USD,NYSE,EQUITY,EDT,"NextEra Energy, Inc.",1973-02-21,2026-09-08
NOW.csv,NOW,NOW,USD,NYSE,EQUITY,EDT,"ServiceNow, Inc.",2012-06-29,2026-09-08
NXPI.csv,NXPI,NXPI,USD,NasdaqGS,EQUITY,EDT,NXP Semiconductors N.V.,2010-08-06,2026-09-08
PH.csv,PH,PH,USD,NYSE,EQUITY,EDT,Parker-Hannifin Corporation,1980-03-17,2026-09-08
QCOM.csv,QCOM,QCOM,USD,NasdaqGS,EQUITY,EDT,QUALCOMM Incorporated,1991-12-13,2026-09-08
SBAC.csv,SBAC,SBAC,USD,NasdaqGS,EQUITY,EDT,SBA Communications Corporation,1999-06-16,2026-09-08
EQT.csv,EQT,EQT,USD,NYSE,EQUITY,EDT,EQT Corporation,1980-03-17,2026-09-08
KMI.csv,KMI,KMI,USD,NYSE,EQUITY,EDT,"Kinder Morgan, Inc.",2011-02-11,2026-09-08
L.csv,L,L,USD,NYSE,EQUITY,EDT,Loews Corporation,1980-03-17,2026-09-08
PEG.csv,PEG,PEG,USD,NYSE,EQUITY,EDT,Public Service Enterprise Group Incorporated,1980-01-02,2026-09-08
