cik,nom,symboles,secteur,sous_secteur,annee,chiffre_affaires,ca_etiquette,ca_nb_etiquettes,ca_ecart_relatif,fin_exercice,ca_depot,capex,capex_etiquette,rd,rd_etiquette
0001692819,Vistra Corp.,VST,Utilities,Electric Utilities,2023,14779000000.0,Revenues,2.0,0.06597198727924758,2023-12-31,0001692819-26-000006,1676000000.0,PaymentsToAcquirePropertyPlantAndEquipment,,
0001071739,Centene Corporation,CNC,Health Care,Managed Health Care,2020,111115000000.0,Revenues,2.0,0.06583269585564511,2020-12-31,0001071739-23-000047,869000000.0,PaymentsToAcquirePropertyPlantAndEquipment,,
0001032208,Sempra,SRE,Utilities,Multi-Utilities,2018,10102000000.0,Revenues,3.0,0.06483864581271037,2018-12-31,0001032208-21-000007,3544000000.0,PaymentsToAcquireProductiveAssets,,
0001381197,Interactive Brokers,IBKR,Financials,Investment Banking & Brokerage,2014,1115000000.0,Revenues,2.0,0.06457399103139017,2014-12-31,0001047469-17-001069,19000000.0,PaymentsForProceedsFromProductiveAssets,,
0001069183,Axon Enterprise,AXON,Industrials,Aerospace & Defense,2015,197892000.0,SalesRevenueNet,2.0,0.06398439552887436,2015-12-31,0001069183-18-000020,6003000.0,PaymentsToAcquirePropertyPlantAndEquipment,23614000.0,ResearchAndDevelopmentExpense
0001032208,Sempra,SRE,Utilities,Multi-Utilities,2019,10829000000.0,Revenues,3.0,0.06353310554991232,2019-12-31,0001032208-22-000007,3708000000.0,PaymentsToAcquireProductiveAssets,,
0001071739,Centene Corporation,CNC,Health Care,Managed Health Care,2021,125982000000.0,Revenues,3.0,0.0634931974409042,2021-12-31,0001071739-24-000037,910000000.0,PaymentsToAcquirePropertyPlantAndEquipment,,
0000916076,Martin Marietta Materials,MLM,Materials,Construction Materials,2016,3818749000.0,RevenueFromContractWithCustomerExcludingAssessedTax,3.0,0.0633668251042423,2016-12-31,0001193125-19-049961,387267000.0,PaymentsToAcquirePropertyPlantAndEquipment,,
0000715957,Dominion Energy,D,Utilities,Multi-Utilities,2023,14393000000.0,Revenues,3.0,0.06294726603209899,2023-12-31,0001193125-26-063120,10235000000.0,PaymentsForProceedsFromProductiveAssets,,
0001071739,Centene Corporation,CNC,Health Care,Managed Health Care,2022,144547000000.0,Revenues,3.0,0.06273392045493853,2022-12-31,0001071739-25-000027,1004000000.0,PaymentsToAcquirePropertyPlantAndEquipment,,
0000916076,Martin Marietta Materials,MLM,Materials,Construction Materials,2017,3965600000.0,RevenueFromContractWithCustomerExcludingAssessedTax,3.0,0.06157252370385313,2017-12-31,0001564590-20-005784,410300000.0,PaymentsToAcquirePropertyPlantAndEquipment,,
0000091440,Snap-on,SNA,Industrials,Industrial Machinery & Supplies & Components,2014,3492600000.0,Revenues,2.0,0.061530092194926445,2015-01-03,0001193125-17-036139,80600000.0,PaymentsForCapitalImprovements,52400000.0,ResearchAndDevelopmentExpense
0000018230,Caterpillar Inc.,CAT,Industrials,Construction Machinery & Heavy Transportation Equipment,2017,45462000000.0,Revenues,2.0,0.061281949760239374,2017-12-31,0000018230-20-000056,898000000.0,PaymentsToAcquireProductiveAssets,1842000000.0,ResearchAndDevelopmentExpense
0001071739,Centene Corporation,CNC,Health Care,Managed Health Care,2018,60116000000.0,Revenues,2.0,0.06123161887018436,2018-12-31,0001071739-21-000039,675000000.0,PaymentsToAcquirePropertyPlantAndEquipment,,
0000018230,Caterpillar Inc.,CAT,Industrials,Construction Machinery & Heavy Transportation Equipment,2015,47011000000.0,Revenues,2.0,0.060921911892961256,2015-12-31,0000018230-18-000042,1388000000.0,PaymentsToAcquireProductiveAssets,2119000000.0,ResearchAndDevelopmentExpense
0001467858,General Motors,GM,Consumer Discretionary,Automobile Manufacturers,2016,149184000000.0,Revenues,2.0,0.060187419562419575,2016-12-31,0001467858-19-000033,8384000000.0,PaymentsToAcquirePropertyPlantAndEquipment,,
0000037996,Ford Motor Company,F,Consumer Discretionary,Automobile Manufacturers,2015,149558000000.0,Revenues,2.0,0.06012383155698797,2015-12-31,0000037996-18-000015,7196000000.0,PaymentsToAcquireProductiveAssets,6700000000.0,ResearchAndDevelopmentExpense
0001163165,ConocoPhillips,COP,Energy,Oil & Gas Exploration & Production,2018,38727000000.0,Revenues,2.0,0.05964830738244631,2018-12-31,0001562762-21-000027,6750000000.0,PaymentsToAcquireProductiveAssets,78000000.0,ResearchAndDevelopmentExpense
0001506307,Kinder Morgan,KMI,Energy,Oil & Gas Storage & Transportation,2018,14144000000.0,Revenues,2.0,0.05839932126696834,2018-12-31,0001506307-21-000022,2904000000.0,PaymentsToAcquirePropertyPlantAndEquipment,,
0000037996,Ford Motor Company,F,Consumer Discretionary,Automobile Manufacturers,2014,144077000000.0,Revenues,2.0,0.05757338090049069,2014-12-31,0000037996-17-000013,7463000000.0,PaymentsToAcquireProductiveAssets,6700000000.0,ResearchAndDevelopmentExpense
0001176948,Ares Management,ARES,Financials,Asset Management & Custody Banks,2022,3055443000.0,RevenueFromContractWithCustomerExcludingAssessedTax,2.0,0.05741753323495158,2022-12-31,0001628280-25-008665,,,,
0001071739,Centene Corporation,CNC,Health Care,Managed Health Care,2019,74639000000.0,Revenues,2.0,0.0572756869732981,2019-12-31,0001071739-22-000071,730000000.0,PaymentsToAcquirePropertyPlantAndEquipment,,
0001071739,Centene Corporation,CNC,Health Care,Managed Health Care,2017,48382000000.0,Revenues,2.0,0.05708734653383485,2017-12-31,0001071739-20-000060,422000000.0,PaymentsToAcquirePropertyPlantAndEquipment,,
0001506307,Kinder Morgan,KMI,Energy,Oil & Gas Storage & Transportation,2022,19200000000.0,Revenues,2.0,0.05583333333333329,2022-12-31,0001506307-25-000008,1621000000.0,PaymentsToAcquirePropertyPlantAndEquipment,,
0000018230,Caterpillar Inc.,CAT,Industrials,Construction Machinery & Heavy Transportation Equipment,2014,55184000000.0,Revenues,2.0,0.05512467381849806,2014-12-31,0000018230-17-000041,1539000000.0,PaymentsToAcquireProductiveAssets,2380000000.0,ResearchAndDevelopmentExpense
0000811156,CMS Energy,CMS,Utilities,Multi-Utilities,2018,6873000000.0,Revenues,2.0,0.05397933944420197,2018-12-31,0000811156-21-000016,2074000000.0,PaymentsToAcquirePropertyPlantAndEquipment,,
0001163165,ConocoPhillips,COP,Energy,Oil & Gas Exploration & Production,2014,55517000000.0,Revenues,2.0,0.053911414521678025,2014-12-31,0001193125-17-050077,17085000000.0,PaymentsToAcquireProductiveAssets,263000000.0,ResearchAndDevelopmentExpense
0001381197,Interactive Brokers,IBKR,Financials,Investment Banking & Brokerage,2016,1475000000.0,Revenues,2.0,0.05355932203389835,2016-12-31,0001140361-19-004097,27000000.0,PaymentsForProceedsFromProductiveAssets,,
0001381197,Interactive Brokers,IBKR,Financials,Investment Banking & Brokerage,2015,1256000000.0,Revenues,2.0,0.05334394904458595,2015-12-31,0001047469-18-001166,30000000.0,PaymentsForProceedsFromProductiveAssets,,
0001389170,Targa Resources,TRGP,Energy,Oil & Gas Storage & Transportation,2022,20929800000.0,Revenues,2.0,0.0529914284895221,2022-12-31,0000950170-25-023983,1334300000.0,PaymentsToAcquirePropertyPlantAndEquipment,,
0001145197,Insulet Corporation,PODD,Health Care,Health Care Equipment,2021,1098800000.0,Revenues,2.0,0.05296687295231162,2021-12-31,0001145197-24-000011,111900000.0,PaymentsToAcquirePropertyPlantAndEquipment,160100000.0,ResearchAndDevelopmentExpense
0001692819,Vistra Corp.,VST,Utilities,Electric Utilities,2020,11443000000.0,Revenues,2.0,0.05182207463077859,2020-12-31,0001692819-23-000005,1259000000.0,PaymentsToAcquirePropertyPlantAndEquipment,,
0001090012,Devon Energy,DVN,Energy,Oil & Gas Exploration & Production,2018,8896000000.0,Revenues,2.0,0.051371402877697814,2018-12-31,0001564590-21-006239,55000000.0,PaymentsToAcquirePropertyPlantAndEquipment,,
0001389170,Targa Resources,TRGP,Energy,Oil & Gas Storage & Transportation,2021,16949800000.0,Revenues,2.0,0.050543369243294944,2021-12-31,0000950170-24-015841,505100000.0,PaymentsToAcquirePropertyPlantAndEquipment,,
