serie,retire,poids_retire,vol_avant,vol_apres,baisse_pt,baisse_pct
P1_cons,SNDK,0.19377810896285824,0.4098524674535489,0.28301245759764415,12.684000985590476,-30.947723858776165
P1_reeq,SNDK,0.03679282404217125,0.24926650844787415,0.2265995188192846,2.2666989628589542,-9.093475802157192
P2_cons,SNDK,0.2147352727413489,0.4411760332509523,0.3030847262284311,13.809130702252121,-31.300727286781537
P2_reeq,SNDK,0.043113718609615985,0.2855676659302375,0.26006802102642523,2.549964490381229,-8.929458039567306
P3_cons,TPL,0.5642908838777357,0.29679698312084485,0.1675078909471232,12.928909217372164,-43.561457671919754
P3_reeq,TPL,0.048283859208891375,0.12532288014240822,0.12285557838858756,0.24673017538206637,-1.968756025250129
P4_cons,APP,0.26480011833832273,0.3523314055268134,0.31428104093760073,3.8050364589212684,-10.799594924647426
P4_reeq,ORCL,0.08726140260261876,0.22965649930129775,0.2186925246928802,1.0963974608417555,-4.77407547436024
P5_cons,SNDK,0.43136125547628784,0.6465733060917278,0.3631641761989156,28.340912989281218,-43.83248229128185
P5_reeq,SNDK,0.10453059123295937,0.4531460526793638,0.4014386118458527,5.170744083351108,-11.41076713076835
P6_cons,VST,0.1535303534294817,0.20853988613341523,0.17767216646194478,3.086771967147045,-14.801830116912285
P6_reeq,VST,0.03756513358798627,0.14733085022240114,0.14520889922300384,0.21219509993972985,-1.440262508628798
P7_cons,VRT,0.14900260863222506,0.33131661018809955,0.2959080087080967,3.5408601480002853,-10.687240057146607
P7_reeq,VRT,0.048903057574662165,0.23768218373539549,0.22538958163040318,1.2292602104992305,-5.171865182237346
P8_cons,DLR,0.30317709681516725,0.1812481585110164,0.17342521574851785,0.7822942762498536,-4.316150203547064
P8_reeq,IRM,0.17468220418418443,0.17043440159083117,0.1562406848594739,1.4193716731357275,-8.327964659055576
P9_cons,LRCX,0.3203952436558404,0.45271467608268123,0.3838037845414962,6.891089154118502,-15.221704791518519
P9_reeq,TER,0.1016997452468274,0.40405175247296776,0.3793495135015283,2.4702238971439474,-6.1136324295715365
P10_cons,TPL,0.5975076971104889,0.3091084306185012,0.1950060895263659,11.41023410921353,-36.913370775370204
P10_reeq,SLB,0.07021341609774658,0.14563061516457607,0.1378344764574504,0.7796138707125672,-5.353365223593487
