episode,serie,rendement,vol,seances
2000-03-24,P1_reeq,-0.37589275312295845,0.2619622897121014,638
2000-03-24,P1_cons,-0.3661071992406404,0.23951405294478803,638
2000-03-24,P10_reeq,-0.16890471648695493,0.19750382377652825,638
2000-03-24,P10_cons,-0.17116474250294822,0.1875713664542605,638
2000-03-24,P2_reeq,-0.46497663911313225,0.3149357127767479,638
2000-03-24,P2_cons,-0.46007326447192154,0.29346193249829383,638
2000-03-24,P3_reeq,0.02017441965271538,0.19558268151590766,638
2000-03-24,P3_cons,0.058871335280034076,0.19539010878831092,638
2000-03-24,P4_reeq,-0.6812346302017167,0.5251878269461779,638
2000-03-24,P4_cons,-0.862377783671482,0.5439231566913005,638
2000-03-24,P5_reeq,-0.6910091870773863,0.5398502593851777,638
2000-03-24,P5_cons,-0.6959606941725509,0.5342265473231184,638
2000-03-24,P6_reeq,-0.0010971714429002244,0.23318531132288026,638
2000-03-24,P6_cons,0.042506303355860586,0.23345344738582366,638
2000-03-24,P7_reeq,-0.037205956309457,0.23147993055825195,638
2000-03-24,P7_cons,-0.01411754354271133,0.22847987017317062,638
2000-03-24,P8_reeq,-0.6408909579908868,0.31512633604663876,638
2000-03-24,P8_cons,-0.4177749601870935,0.2599487760340844,638
2000-03-24,P9_reeq,-0.7215652147801548,0.6189258091005121,638
2000-03-24,P9_cons,-0.7295146791901428,0.6096672675823288,638
2000-03-24,GSPC,-0.4914694789846553,0.2294740270535305,638
2000-03-24,RSP,,,0
2000-03-24,SP500TR,-0.4737718676384497,0.22949344779711012,638
2000-03-24,SPXEW,,,0
2000-03-24,SPY,-0.47333028032260915,0.23466287761669843,638
2007-10-09,P1_reeq,-0.4999332990129276,0.3867802048813014,356
2007-10-09,P1_cons,-0.5042586326592158,0.40816117482418207,356
2007-10-09,P10_reeq,-0.5301979795140859,0.4676171674317137,356
2007-10-09,P10_cons,-0.5565472825867646,0.5047022487646328,356
2007-10-09,P2_reeq,-0.5362641947616524,0.40213194103229744,356
2007-10-09,P2_cons,-0.5336055726748076,0.4148546119283807,356
2007-10-09,P3_reeq,-0.3596026403601065,0.3726558124055967,356
