serie,date,titres,poids_max,premier,hhi,n_eff,part_5
P1_cons,2000-01-31,90,0.018510048059081657,SBAC,0.011321306375373269,88.329029075236,0.07294993756010025
P1_cons,2000-02-29,90,0.02980202013552742,CIEN,0.012425642506248545,80.47873576735569,0.11340660334418841
P1_cons,2000-03-31,90,0.023211006882893372,SBAC,0.01232922513314263,81.10809797055813,0.10329541207528622
P1_cons,2000-04-28,90,0.025879426657585382,AMD,0.012496944717516213,80.01955858845726,0.10954472280824307
P1_cons,2000-05-31,91,0.024835925552852363,AMD,0.012372053980832192,80.82732273471184,0.11214897543656348
P1_cons,2000-06-30,92,0.02702446291381117,CIEN,0.013062749395415628,76.55356232669901,0.12735458335511124
P1_cons,2000-07-31,92,0.023348506280893543,NVDA,0.012547414105182127,79.69769640319724,0.11278490835194906
P1_cons,2000-08-31,93,0.03195558436835948,CIEN,0.01302783614958096,76.75871791127531,0.12595024116769835
P1_cons,2000-09-29,93,0.03730804665555665,CIEN,0.01356367040872961,73.72635649981568,0.13910126504390166
P1_cons,2000-10-31,93,0.03320830913525218,CIEN,0.0131046049949709,76.30905322089188,0.12908698714475234
P1_cons,2000-11-30,93,0.02667862024798699,CIEN,0.012551415947208136,79.6722859162702,0.1035627483610879
P1_cons,2000-12-29,93,0.02721190045312117,CIEN,0.012769074981226118,78.31420846617799,0.10943119454327492
P1_cons,2001-01-31,93,0.02882440151543832,CIEN,0.01232169497661501,81.15766555639229,0.106147044322308
P1_cons,2001-02-28,93,0.023218199915548667,CIEN,0.012538094347602323,79.75693692169666,0.09848834169209747
P1_cons,2001-03-30,93,0.027741000465294936,NVDA,0.013073494528537025,76.4906427900501,0.11035418256610409
P1_cons,2001-04-30,93,0.031489331754858366,NVDA,0.013071343567433771,76.5032297438361,0.11622998966043158
P1_cons,2001-05-31,93,0.03212586020240536,NVDA,0.013156606054210018,76.00744415996307,0.11896859527237312
P1_cons,2001-06-29,93,0.036527921141506464,NVDA,0.01318115919338067,75.86586166884177,0.11785530460385196
P1_cons,2001-07-31,94,0.032699398462921955,NVDA,0.01279063453070901,78.18220414312533,0.11471497938960082
P1_cons,2001-08-31,94,0.03579376901453381,NVDA,0.01315788758717813,76.00004129648156,0.11392518216412502
P1_cons,2001-09-28,94,0.026788464516722864,NVDA,0.013544247142314851,73.83208453689583,0.10963507981176535
P1_cons,2001-10-31,94,0.03914839570229837,NVDA,0.01379405939873504,72.49497563361973,0.12202357302057432
P1_cons,2001-11-30,94,0.04658889866738787,NVDA,0.013933341262608876,71.77029408470544,0.1290430231633132
P1_cons,2001-12-31,94,0.05402654413973481,NVDA,0.014536200227381448,68.79376896008401,0.13507002531484769
P1_cons,2002-01-31,94,0.05272157918802815,NVDA,0.014532176688148808,68.81281596414348,0.13421272764945683
P1_cons,2002-02-28,94,0.04196709894373435,NVDA,0.0142070126018457,70.38777454664081,0.1289701472843151
P1_cons,2002-03-28,94,0.03418066292686003,NVDA,0.013641178216145106,73.30745073152431,0.12037636098910201
P1_cons,2002-04-30,94,0.03230070941817464,EME,0.013906597584692738,71.90831502169297,0.12108236580386678
P1_cons,2002-05-31,94,0.030823942375072518,EME,0.014064471992727881,71.1011405559381,0.12050695295610839
P1_cons,2002-06-28,95,0.034130373838359956,EME,0.01439934402775656,69.4476080349475,0.12309790291391534
P1_cons,2002-07-31,96,0.03475115447122192,EME,0.014731030348885992,67.88391418089931,0.12830330821155445
P1_cons,2002-08-30,96,0.03508423110271164,EME,0.014815397337701458,67.49734598445441,0.12842131390829015
P1_cons,2002-09-30,96,0.035428146549002365,EME,0.01537082009346099,65.05833741593379,0.1388813000788755
P1_cons,2002-10-31,96,0.032551225957086934,EME,0.014997442765474666,66.67803409139066,0.13060907272644495
P1_cons,2002-11-29,96,0.032318665335454105,EME,0.01447970378694275,69.06218626528549,0.12659984721579431
P1_cons,2002-12-31,97,0.033507303905554064,EME,0.01477811609162355,67.66762378912523,0.12744047377558262
P1_cons,2003-01-31,97,0.03082521165575101,EME,0.014834982790369254,67.40823458515851,0.13019837789259361
P1_cons,2003-02-28,97,0.03125969007275112,EME,0.01485382801077489,67.32271299187019,0.13080428290864504
P1_cons,2003-03-31,97,0.030909088981749787,EME,0.014921116118746176,67.01911519498518,0.13390554660630619
P1_cons,2003-04-30,97,0.030544603317242732,EME,0.01463728811393169,68.3186661502007,0.12976037513901517
P1_cons,2003-05-30,97,0.030460069408305233,WDC,0.01437162408699724,69.58155835044087,0.1283370489989614
P1_cons,2003-06-30,97,0.027140285878570074,EME,0.014251084149208166,70.17010000993946,0.12549483892871674
P1_cons,2003-07-31,97,0.023880230969204358,WDC,0.01378153958675849,72.56083354872884,0.11366882599482238
P1_cons,2003-08-29,97,0.02609656016083453,WDC,0.013687865290265833,73.05741098366545,0.11605375098734444
P1_cons,2003-09-30,97,0.029958634946066168,WDC,0.013847071761007497,72.21743465040302,0.11975699684564645
P1_cons,2003-10-31,97,0.02933118477800962,WDC,0.013521398100279636,73.95684917962137,0.1165739231675107
P1_cons,2003-11-28,97,0.02661578094126226,WDC,0.01338592979050617,74.70530741235767,0.11121725189984794
P1_cons,2003-12-31,98,0.023971470211460677,WDC,0.013218019137623,75.65430111639483,0.10889492161500644
P1_cons,2004-01-30,98,0.02216237479379408,EQT,0.013079040493760368,76.45820811374283,0.10568076083493644
P1_cons,2004-02-27,98,0.022464296274813313,WDC,0.013216721448342541,75.66172926534713,0.10737559863401203
P1_cons,2004-03-31,98,0.02206170211133546,EQT,0.013310745617152913,75.1272715114733,0.10807527855108348
P1_cons,2004-04-30,98,0.024264621077332117,EQT,0.01344218520151765,74.39266644586164,0.10958334833799334
P1_cons,2004-05-28,98,0.02440567493191568,EQT,0.013337851669452134,74.97459296914464,0.10865897876920924
P1_cons,2004-06-30,99,0.025148614862229416,AME,0.013341132189575475,74.9561570779864,0.11410854453322802
P1_cons,2004-07-30,99,0.025716852567949554,AME,0.013628581337400277,73.37520870611432,0.11723081466408268
P1_cons,2004-08-31,100,0.0307705443303088,COHR,0.013867373619303056,72.11170820464689,0.12342734524139637
P1_cons,2004-09-30,100,0.027237603738698355,COHR,0.013651413654984138,73.25248690525905,0.11735641055472121
P1_cons,2004-10-29,101,0.025769389815487414,COHR,0.013405958934290292,74.59369411032287,0.11787719252270758
P1_cons,2004-11-30,102,0.030086914945847337,COHR,0.013329863750679802,75.01952148228084,0.11946361947051598
P1_cons,2004-12-31,102,0.028439004950109783,COHR,0.013332485507399728,75.00476932414328,0.12038091271293945
P1_cons,2005-01-31,102,0.026575262341873837,AME,0.01341715940439419,74.53142426499717,0.11746403565039333
P1_cons,2005-02-28,102,0.025755001668597427,AME,0.013426916574473561,74.47726322372027,0.11851732366411036
P1_cons,2005-03-31,102,0.027482591319644194,AME,0.013508570107691494,74.02707999646988,0.1216557447684321
P1_cons,2005-04-29,102,0.03141510697772216,TPL,0.013745735241328832,72.74983712717922,0.12419206224295445
P1_cons,2005-05-31,102,0.029801463221252378,TPL,0.013725803334896395,72.85548070309345,0.12571737267953575
P1_cons,2005-06-30,102,0.02902420170600383,TPL,0.0138226290317907,72.34513765073905,0.12862952921067108
P1_cons,2005-07-29,102,0.028245720296200833,TPL,0.013624339004382705,73.39805620502528,0.12457684864439167
P1_cons,2005-08-31,102,0.027871084853740305,TPL,0.01362768201000156,73.3800509335399,0.12392781753700163
P1_cons,2005-09-30,102,0.02798038870081419,EQT,0.013587125466778807,73.59908484285727,0.12110509414869516
P1_cons,2005-10-31,102,0.028219635898117285,EQT,0.013758155744246102,72.68416047828339,0.12419122180006406
P1_cons,2005-11-30,102,0.028051772710583796,GOOGL,0.013695763816977983,73.01527781607535,0.12255489938455484
P1_cons,2005-12-30,102,0.02869000136453424,GOOGL,0.013755701143117784,72.6971304185623,0.1256070493075639
P1_cons,2006-01-31,102,0.02738497020984958,GOOGL,0.013680461645105661,73.09694847598665,0.12203677567587513
P1_cons,2006-02-28,102,0.026780757760487554,WDC,0.013717421042970626,72.90000043502648,0.11981645765233334
P1_cons,2006-03-31,102,0.02692153822474342,CBRE,0.013897608230894866,71.95482729013509,0.12252995709443759
P1_cons,2006-04-28,102,0.028514217035231198,CBRE,0.014043502000061577,71.20730997123191,0.12732885475140732
P1_cons,2006-05-31,102,0.02647005244799031,CBRE,0.013935214593875296,71.76064589916776,0.12399593115763116
P1_cons,2006-06-30,102,0.02609285550477456,GOOGL,0.014103592984868154,70.90391796423133,0.12737256856696272
P1_cons,2006-07-31,102,0.028199838560641902,EME,0.014118779853887672,70.8276501474485,0.12329380752223747
P1_cons,2006-08-31,102,0.029597058633250396,EME,0.014132437641832678,70.75920130296228,0.12308564251064456
P1_cons,2006-09-29,102,0.028977472969576,EME,0.014214164391437483,70.35235927075624,0.12670047848487564
