serie,titre,poids,contribution,part_du_risque,rang
P1_cons,SNDK,0.19377810896285824,0.20366372186134868,0.4969195943280033,1
P1_cons,NVDA,0.19438476230786453,0.04623377947598105,0.11280590736280248,2
P1_cons,AVGO,0.05162656497784298,0.015505098281964537,0.03783092579214941,3
P1_cons,LITE,0.022811974675118987,0.014810096471342583,0.03613518923860353,4
P1_cons,VRT,0.02181140564049965,0.010185119638305875,0.024850697377978376,5
P1_cons,WDC,0.014904084718680866,0.00927357530904917,0.022626618223544556,6
P1_cons,FIX,0.021231115258911467,0.009239387813008697,0.0225432040714891,7
P1_cons,TSLA,0.041282951588960615,0.008844971022695184,0.021580865616473665,8
P1_cons,ANET,0.023190358461696144,0.007069881458304333,0.017249820410329984,9
P1_cons,GEV,0.020838204437678372,0.006817637760067933,0.016634370417302948,10
P1_cons,STX,0.011665163649758224,0.006395445317683712,0.015604262083425295,11
P1_cons,MPWR,0.016531495611439115,0.006124849078407936,0.014944033682320343,12
P1_cons,COHR,0.009263567286541957,0.005390913958257558,0.013153303655219653,13
P1_cons,DELL,0.016463387184131106,0.004849321733287486,0.011831871510782327,14
P1_cons,EME,0.014103623464214867,0.004403549508116399,0.01074423080938382,15
P1_cons,SMCI,0.00880091256436687,0.003932235487640197,0.009594270621503241,16
P1_cons,LRCX,0.007267143753344018,0.0038637899722085414,0.009427270247302949,17
P1_cons,APH,0.013703598340384813,0.003423840775809504,0.00835383716751089,18
P1_cons,TPL,0.04040533002883649,0.0031690086694137623,0.007732071711323602,19
P1_cons,CEG,0.013349292597181525,0.0028806442664262486,0.007028490725757873,20
P1_cons,Q,0.006622021895696027,0.002675620420533901,0.006528252561605344,21
P1_cons,KLAC,0.004737663948994719,0.002079614398128521,0.005074056064733139,22
P1_cons,VST,0.0066075068995127195,0.0017165461575967208,0.004188205010114445,23
P1_cons,APP,0.008129534517596036,0.0016484764042361626,0.004022121458675846,24
P1_cons,CMI,0.006355716101181642,0.0014831940322283367,0.0036188486101927306,25
P1_cons,MU,0.002096673545137151,0.0013801159649337266,0.0033673481911881955,26
P1_cons,HWM,0.01042267471507805,0.0012893199474921623,0.003145814774528078,27
P1_cons,CAT,0.004619480196583333,0.0012731547412831905,0.003106373249851143,28
P1_cons,KEYS,0.0046364582083801295,0.0012094685284292643,0.0029509851092121117,29
P1_cons,AMD,0.0023575259168832213,0.0010826645942086212,0.002641595891651735,30
P1_cons,ETN,0.0036996288249412385,0.0009949270718264006,0.002427524904285618,31
P1_cons,GNRC,0.003464406570922207,0.000965451045549748,0.0023556062783961856,32
P1_cons,AME,0.007688772025477316,0.0008485286629351508,0.0020703270818573753,33
P1_cons,NXPI,0.0036607745448097853,0.0008354726711277997,0.0020384717367170394,34
P1_cons,STLD,0.0070737425812697685,0.0008260680215237262,0.002015525310012559,35
P1_cons,PWR,0.0025847709763024084,0.0007694437398656005,0.0018773675919196615,36
