serie,titres,hhi_poids,n_eff_poids,hhi_risque,n_eff_risque,rapport
P1_cons,135,0.08644038249162828,11.568666995392457,0.2665497012116894,3.7516455484818434,3.083624731039392
P1_reeq,135,0.009357807536989336,106.86263807491466,0.033717348350316756,29.658322760443454,3.6031247936057205
P2_cons,111,0.10123915478369584,9.877601231821485,0.2852691854598171,3.505460985518394,2.817775257698601
P2_reeq,111,0.011602219795046383,86.19040301468468,0.03580776659378928,27.926902321058087,3.0862858337744608
P3_cons,24,0.33440506450594865,2.9903853324632026,0.7936932385909683,1.2599326180166093,2.373448619157649
P3_reeq,24,0.042252939835216434,23.66699225899858,0.045065241278269365,22.19005094913813,1.0665587164827042
P4_cons,11,0.23844179003172583,4.1938957087469655,0.3568366754933229,2.8024025238367405,1.4965358020749804
P4_reeq,11,0.09671985276856718,10.339138981040595,0.1089756939775924,9.176358172177553,1.1267148455896763
P5_cons,34,0.2787310246756374,3.5876881705712953,0.5760474638687243,1.7359680629162364,2.066678671809418
P5_reeq,34,0.040209992973181716,24.869439809824282,0.08156033819731973,12.260861370887039,2.028359921667155
P6_cons,24,0.07684454229448112,13.013285916491414,0.2017559954507291,4.9564821990343795,2.6255084541666784
P6_reeq,24,0.04202908628464972,23.793046397138305,0.04273134868827306,23.40202288710897,1.016708961952376
P7_cons,28,0.07954279318265278,12.571849189450976,0.14373325046149163,6.957332397265416,1.8069927483114576
P7_reeq,28,0.03686409765594272,27.12666425021782,0.052140706985495194,19.178873049768693,1.414403452164515
P8_cons,7,0.1943414679610739,5.145582208941107,0.2444721957085405,4.090444711316779,1.2579517808186345
P8_reeq,7,0.14591135763292037,6.853476084540118,0.17512039172762567,5.710357258424563,1.2001834166205796
P9_cons,13,0.1688238150614428,5.923334925443153,0.2715551837118764,3.682492767514293,1.6085123038656892
P9_reeq,13,0.08316047133017064,12.024943870624742,0.11601720527739923,8.619411212405797,1.3951003814874743
P10_cons,18,0.3784118415315335,2.64262343364503,0.8142048714284398,1.2281921112134855,2.1516368730247337
P10_reeq,18,0.0577267665315719,17.322986546510972,0.0770271613719397,12.982433497338913,1.334340480162041
