fichier,test,date,detail
ETN.csv,anteriorite au calendrier,1972-06-01,5221 seances avant 1993-01-29
ETR.csv,anteriorite au calendrier,1972-06-01,5221 seances avant 1993-01-29
EVRG.csv,anteriorite au calendrier,1973-02-21,5041 seances avant 1993-01-29
FAST.csv,anteriorite au calendrier,1987-08-20,1377 seances avant 1993-01-29
GD.csv,anteriorite au calendrier,1962-01-02,7820 seances avant 1993-01-29
GLW.csv,anteriorite au calendrier,1981-12-31,2802 seances avant 1993-01-29
HAL.csv,anteriorite au calendrier,1972-06-01,5221 seances avant 1993-01-29
HUBB.csv,anteriorite au calendrier,1972-06-05,5099 seances avant 1993-01-29
IBM.csv,anteriorite au calendrier,1962-01-02,7820 seances avant 1993-01-29
IEX.csv,anteriorite au calendrier,1989-06-02,926 seances avant 1993-01-29
INTC.csv,anteriorite au calendrier,1980-03-17,3255 seances avant 1993-01-29
JCI.csv,anteriorite au calendrier,1987-09-28,1351 seances avant 1993-01-29
KLAC.csv,anteriorite au calendrier,1980-10-08,3112 seances avant 1993-01-29
LNT.csv,anteriorite au calendrier,1973-02-21,5041 seances avant 1993-01-29
LRCX.csv,anteriorite au calendrier,1984-05-04,2209 seances avant 1993-01-29
MMM.csv,anteriorite au calendrier,1962-01-02,7820 seances avant 1993-01-29
MSFT.csv,anteriorite au calendrier,1986-03-13,1741 seances avant 1993-01-29
MU.csv,anteriorite au calendrier,1984-06-01,2190 seances avant 1993-01-29
NI.csv,anteriorite au calendrier,1973-02-21,5041 seances avant 1993-01-29
NUE.csv,anteriorite au calendrier,1980-03-17,3255 seances avant 1993-01-29
ORCL.csv,anteriorite au calendrier,1986-03-12,1742 seances avant 1993-01-29
PNW.csv,anteriorite au calendrier,1973-02-21,5041 seances avant 1993-01-29
PPL.csv,anteriorite au calendrier,1980-03-17,3255 seances avant 1993-01-29
SLB.csv,anteriorite au calendrier,1981-12-31,2802 seances avant 1993-01-29
SNPS.csv,anteriorite au calendrier,1992-02-26,235 seances avant 1993-01-29
SO.csv,anteriorite au calendrier,1981-12-31,2802 seances avant 1993-01-29
SWKS.csv,anteriorite au calendrier,1984-09-07,2122 seances avant 1993-01-29
TER.csv,anteriorite au calendrier,1973-02-21,5041 seances avant 1993-01-29
TPL.csv,anteriorite au calendrier,1980-03-17,3255 seances avant 1993-01-29
TT.csv,anteriorite au calendrier,1980-03-17,3255 seances avant 1993-01-29
TXN.csv,anteriorite au calendrier,1972-06-01,5221 seances avant 1993-01-29
VMC.csv,anteriorite au calendrier,1973-02-21,5041 seances avant 1993-01-29
WDC.csv,anteriorite au calendrier,1978-10-31,3602 seances avant 1993-01-29
WEC.csv,anteriorite au calendrier,1980-03-17,3255 seances avant 1993-01-29
WMB.csv,anteriorite au calendrier,1981-12-31,2802 seances avant 1993-01-29
XEL.csv,anteriorite au calendrier,1973-02-21,5041 seances avant 1993-01-29
AES.csv,variation quotidienne extreme,1992-06-23,-35.8 %
AES.csv,variation quotidienne extreme,2001-09-26,-49.5 %
AES.csv,variation quotidienne extreme,2002-02-19,-32.1 %
AES.csv,variation quotidienne extreme,2002-07-29,+41.0 %
AES.csv,variation quotidienne extreme,2002-08-22,+30.7 %
AES.csv,variation quotidienne extreme,2002-10-31,+39.4 %
AKAM.csv,variation quotidienne extreme,2000-04-18,+30.7 %
AKAM.csv,variation quotidienne extreme,2000-10-19,+30.8 %
AKAM.csv,variation quotidienne extreme,2000-12-05,+42.5 %
AKAM.csv,variation quotidienne extreme,2001-04-19,+39.4 %
AKAM.csv,variation quotidienne extreme,2002-11-21,+45.7 %
AKAM.csv,variation quotidienne extreme,2003-04-23,+35.6 %
AKAM.csv,variation quotidienne extreme,2003-10-30,+34.2 %
AMD.csv,variation quotidienne extreme,1987-10-19,-36.1 %
AMD.csv,variation quotidienne extreme,1992-06-18,-37.9 %
AMD.csv,variation quotidienne extreme,2002-10-03,-32.4 %
AMD.csv,variation quotidienne extreme,2016-04-22,+52.3 %
AMT.csv,variation quotidienne extreme,2001-11-06,-35.4 %
AMT.csv,variation quotidienne extreme,2002-11-18,+34.7 %
AMZN.csv,variation quotidienne extreme,2001-04-09,+33.6 %
AMZN.csv,variation quotidienne extreme,2001-11-14,+30.2 %
AMZN.csv,variation quotidienne extreme,2001-11-26,+34.5 %
BKR.csv,variation quotidienne extreme,1987-10-19,-36.5 %
CBRE.csv,variation quotidienne extreme,2008-11-13,+43.0 %
CBRE.csv,variation quotidienne extreme,2008-11-24,+45.0 %
CBRE.csv,variation quotidienne extreme,2009-03-25,+64.0 %
CDNS.csv,variation quotidienne extreme,1993-03-22,-36.4 %
CDNS.csv,variation quotidienne extreme,1999-04-21,-39.9 %
CDNS.csv,variation quotidienne extreme,2008-01-31,-33.0 %
CDNS.csv,variation quotidienne extreme,2008-07-24,-30.8 %
CIEN.csv,variation quotidienne extreme,1998-08-21,-45.0 %
CIEN.csv,variation quotidienne extreme,1998-09-09,-30.2 %
CIEN.csv,variation quotidienne extreme,1998-09-22,+41.5 %
CIEN.csv,variation quotidienne extreme,1998-10-19,+30.2 %
CIEN.csv,variation quotidienne extreme,2001-08-16,-30.2 %
CNP.csv,variation quotidienne extreme,2002-07-23,-42.2 %
CNP.csv,variation quotidienne extreme,2002-07-24,-31.6 %
CNP.csv,variation quotidienne extreme,2002-07-25,+63.0 %
COHR.csv,variation quotidienne extreme,2000-03-02,+71.4 %
COHR.csv,variation quotidienne extreme,2000-08-18,+66.5 %
D.csv,variation quotidienne extreme,1983-05-23,+46.7 %
DELL.csv,variation quotidienne extreme,2024-03-01,+31.6 %
DELL.csv,variation quotidienne extreme,2026-05-29,+32.8 %
EQIX.csv,variation quotidienne extreme,2000-10-13,+45.8 %
EQIX.csv,variation quotidienne extreme,2001-04-06,-42.4 %
EQIX.csv,variation quotidienne extreme,2001-04-09,+54.9 %
EQIX.csv,variation quotidienne extreme,2001-05-02,+31.1 %
EQIX.csv,variation quotidienne extreme,2001-07-16,+32.0 %
EQIX.csv,variation quotidienne extreme,2002-09-27,+32.0 %
EQIX.csv,variation quotidienne extreme,2003-01-07,+36.5 %
