serie,titres,vol,somme,premier,poids_1,risque_1,poids_5,risque_5,amplif
P1_cons,135,0.40985246745354886,0.40985246745354886,SNDK,0.19377810896285824,0.4969195943280033,0.4844128165641844,0.708542314099537,1.4626828396594573
P1_reeq,135,0.24926650844787412,0.24926650844787415,SNDK,0.03679282404217125,0.13144974354917782,0.11110471247584267,0.28518803638872087,2.5668401459634658
P2_cons,111,0.44117603325095234,0.4411760332509522,SNDK,0.2147352727413489,0.5154550653706453,0.5250757936663276,0.7245981791493407,1.3799877806018315
P2_reeq,111,0.2855676659302375,0.2855676659302375,SNDK,0.043113718609615985,0.13578207170599324,0.13019216204756168,0.29547104440474575,2.269499482594079
P3_cons,24,0.29679698312084485,0.29679698312084485,TPL,0.5642908838777357,0.8891822557227035,0.7445923262002258,0.9641949177878466,1.2949299688707352
P3_reeq,24,0.12532288014240825,0.12532288014240822,TPL,0.048283859208891375,0.08199769273211774,0.2188209239252027,0.2912575007697749,1.331031308821877
P4_cons,11,0.3523314055268134,0.3523314055268134,APP,0.26480011833832273,0.4397151871818153,0.8613126992946298,0.9498588318436537,1.1028037002374846
P4_reeq,11,0.22965649930129775,0.22965649930129775,ORCL,0.08726140260261876,0.15531892182428617,0.48246559620389406,0.6265910153682238,1.2987268321271577
P5_cons,34,0.6465733060917278,0.6465733060917276,SNDK,0.43136125547628784,0.7514129859023552,0.8331361366957634,0.9196635132619125,1.1038574282821516
P5_reeq,34,0.4531460526793638,0.45314605267936386,SNDK,0.10453059123295937,0.22150115344321963,0.3156550655246318,0.47901986399689667,1.5175421411367052
P6_cons,24,0.2085398861334152,0.20853988613341523,VST,0.1535303534294817,0.30662482339057195,0.4932484159908872,0.7844011562385104,1.5902760775475095
P6_reeq,24,0.14733085022240117,0.1473308502224011,VST,0.03756513358798627,0.058101243208795804,0.19348477091617394,0.26049674022786606,1.3463423451591683
P7_cons,28,0.33131661018809955,0.3313166101880996,VRT,0.14900260863222506,0.2545041112435962,0.5699936098841534,0.7434777523567382,1.3043615568038458
P7_reeq,28,0.23768218373539549,0.23768218373539546,VRT,0.048903057574662165,0.10235299660977168,0.22457778994490032,0.3850537208276651,1.7145672371347904
P8_cons,7,0.1812481585110164,0.1812481585110164,DLR,0.30317709681516725,0.3807754475815096,0.9325862449785075,0.9566377223979894,1.0257900838115366
P8_reeq,7,0.17043440159083117,0.17043440159083117,IRM,0.17468220418418443,0.2711298813194379,0.7521767103413566,0.8407230753002707,1.1177201630169187
P9_cons,13,0.45271467608268123,0.4527146760826813,LRCX,0.3203952436558404,0.43639033577713215,0.7205881337798626,0.8780949715379612,1.2185809484981285
P9_reeq,13,0.4040517524729677,0.4040517524729678,TER,0.1016997452468274,0.16267883322541374,0.48775177644807005,0.6796770179741356,1.3934895797278546
P10_cons,18,0.3091084306185012,0.3091084306185012,TPL,0.5975076971104889,0.90129830040267,0.8395055879984626,0.9722260735930743,1.158093629741098
P10_reeq,18,0.14563061516457607,0.14563061516457604,SLB,0.07021341609774658,0.12770784697120396,0.3344924169285825,0.5172792145546015,1.5464602136706906
