serie,annualise,volatilite,sharpe,sortino,repli_max
P4_reeq,0.3117895194266429,0.27065523722756174,1.0762703457914782,1.598159070651589,-0.5758208881794047
P1_reeq,0.21391293368353503,0.2103591201071956,0.9474231158123697,1.3507160176288855,-0.5183927266088377
P2_reeq,0.2251265711107373,0.2262302906575723,0.9369754427535157,1.3385251767437112,-0.5550408353016785
P5_cons,0.2839779172934416,0.3174985625621253,0.8937437548921158,1.295334601355095,-0.6034089369237581
P1_cons,0.21817746279646189,0.2347853159427775,0.8870568554420444,1.256922492211061,-0.5330534591443953
P5_reeq,0.25309821890790074,0.28284708582021534,0.8803540068986702,1.2655855450055171,-0.6131856320411837
P2_cons,0.22853515191236062,0.2506251387251633,0.8801871983187154,1.250157133873381,-0.5553569847853563
P4_cons,0.25961598114029427,0.3105734819548597,0.8447300171194926,1.2246974507274584,-0.6495248791408968
P8_reeq,0.2155513436913179,0.25683789539623636,0.8232643387693769,1.206530134320983,-0.5827299322989171
P7_reeq,0.19564303582281206,0.22935461128339454,0.8209795361481261,1.1731097136332942,-0.5401501738397574
P7_cons,0.19285212738774282,0.23924232413437926,0.7870510182757898,1.120456627879885,-0.5374836271830343
P3_reeq,0.15124002541211712,0.182499052125339,0.7712263647828618,1.09697241599811,-0.45867653070597814
P9_reeq,0.21143906920876,0.2909519781753864,0.7472720577128369,1.0804349440976788,-0.6339157417867918
P10_cons,0.18204060251500565,0.28188950823084946,0.6751734670045247,0.9624974311495172,-0.6233139883183862
P3_cons,0.15873464880743215,0.2344964647801214,0.6740850203039385,0.9648301723445268,-0.5190689564665725
P10_reeq,0.15759936211671977,0.23373297161285203,0.6716502309507217,0.9494691102936111,-0.5758278897363582
P6_reeq,0.12481339524111634,0.18160346735167057,0.646066336534255,0.9161289549180666,-0.45106453180121064
P9_cons,0.1739383125490328,0.30505571856585306,0.6229346512514496,0.9061194220802027,-0.6439579928215341
P6_cons,0.12205541734839698,0.1889824483854571,0.6150779991887891,0.872014295813519,-0.4484040937724082
P8_cons,0.1485964755318787,0.25656590818189035,0.6028987012930763,0.8702381319614286,-0.5964859633433889
SP500TR,0.11663446803252375,0.18586697914129677,0.5963395253442044,0.8383619634947777,-0.5525024106969595
SPY,0.11466264116040836,0.18329402356679148,0.5923458667684495,0.835039829648568,-0.5492166646241935
RSP,0.11271424554386833,0.19580460373819253,0.5578180468351421,0.7855257272844713,-0.5968630146357949
GSPC,0.09571619182438829,0.1858620508704508,0.4945541756721142,0.692371362121383,-0.5677538774277282
