serie,obs,var95,perte_au_dela_95,obs_queue_95,var99,perte_au_dela_99,obs_queue_99,var95_mensuelle,perte_au_dela_95_mensuelle,aggravation_99
P1_reeq,6708,0.02104984788383801,0.0316552146328093,336,0.03583185254846421,0.050973180038321235,68,0.08118344021469266,0.1114805191372111,1.4225661363552915
P1_cons,6708,0.022302166523708315,0.03501849201677305,336,0.04238394363688239,0.05751930106869523,68,0.0937070535159564,0.12028233193748908,1.357101207039217
P2_reeq,6708,0.02337097126305771,0.034566747641163825,336,0.03967653159705221,0.053726735468353486,68,0.08607900897285527,0.12331948946462744,1.354118752465378
P2_cons,6708,0.025223343585571767,0.037765029481792875,336,0.04537248235922121,0.05977905709078669,68,0.10075180257768114,0.1283071477936441,1.3175178871084532
P3_reeq,6708,0.01677094589179582,0.027101309065435095,336,0.03105327826238632,0.04834661005955609,68,0.06075059559807831,0.10030661639365746,1.5568923078281411
P3_cons,6708,0.020874749815393168,0.03456704171036647,336,0.041934268257110295,0.06078326381470795,68,0.0774213973886629,0.12470618558596158,1.4494890775732483
P4_reeq,6708,0.029711518327148002,0.044318304190676866,336,0.05307369099010412,0.06914675331650375,68,0.11088014437474962,0.15674916325975413,1.30284425346254
P4_cons,6708,0.03491736260009468,0.05037065454277133,336,0.05961298410319487,0.07454456928113934,68,0.13299852602167586,0.1999029111923208,1.250475385565277
P5_reeq,6708,0.031336615268806114,0.04605479603729661,336,0.053832368168800604,0.06960965096220992,68,0.12132480074070022,0.17965578100875815,1.293081715148346
P5_cons,6708,0.034134866886717775,0.049587501368495435,336,0.059736099152489446,0.07564109843312512,68,0.12419777825557946,0.1906745938589937,1.2662544007106105
P6_reeq,6708,0.01765502537258011,0.02803023667404725,336,0.03348769617759971,0.04729868447254012,68,0.06453058927968182,0.09737301862191643,1.4124197801393914
P6_cons,6708,0.018189798845452933,0.02883784758998493,336,0.034352811923577656,0.04906792534329188,68,0.06286431931966475,0.09642426735505794,1.4283525160167363
P7_reeq,6708,0.022001075229052418,0.033487311843746266,336,0.038728868607905725,0.05410528415139919,68,0.08014391766478628,0.11621836180074387,1.3970272330742621
P7_cons,6708,0.022886734799031545,0.034995384849090004,336,0.04054992182910504,0.05649384726661082,68,0.08541498877287772,0.1199251956219404,1.3931925073666085
P8_reeq,6708,0.023787613034263775,0.03869009300508473,336,0.04771684667296303,0.06451884968555527,68,0.09071847089015284,0.13259684106060543,1.3521188884870814
P8_cons,6708,0.022616494549107646,0.0375270789423814,336,0.04480115351196126,0.06457608886250556,68,0.08033481910139456,0.1173364463165898,1.4413934419180674
P9_reeq,6708,0.03391336830971943,0.049454386852040524,336,0.06121846036341396,0.07428168516509842,68,0.13690251978996915,0.19150539010532758,1.2133870196038359
P9_cons,6708,0.033665282163372855,0.05106481967747355,336,0.06085067310424143,0.07803060159332005,68,0.13907449277267073,0.20088893407249286,1.2823293089897003
P10_reeq,6708,0.020904613046440423,0.03374601045116383,336,0.038109257281035265,0.059246177315577894,68,0.08644286395134179,0.1237555112234453,1.5546400413597468
P10_cons,6708,0.024735708378338345,0.04030879998133398,336,0.047862015850757514,0.07033448610248164,68,0.09007107110643187,0.13935637481361,1.4695261963432
SPY,6708,0.01860693976642747,0.028767738976330687,336,0.033268426951212564,0.0481111567390078,68,0.07429562934593874,0.09497401564071278,1.446150634340535
RSP,5874,0.017597639906067712,0.029846075799316148,294,0.03548449578698087,0.052487761094322245,59,0.06977990528900391,0.1061326861499067,1.4791744938244216
GSPC,6708,0.01835206474309058,0.02905266791558813,336,0.033959237940610634,0.04874129378221389,68,0.0790574918973024,0.09713305244245654,1.435288208394274
SP500TR,6708,0.018316589268043453,0.02897643022174033,336,0.03390176949113859,0.048647718848558785,68,0.07799919299834644,0.09558750077819245,1.4349610530292396
SPXEW,4950,0.019579185301549406,0.032548090027972744,248,0.03858687960875256,0.05702865227954266,50,0.07631445588169317,0.11404192917812382,1.4779285824036157
