date,rho
2000-12-29,0.1542882734544718
2001-01-31,0.16107870858201875
2001-03-02,0.16989016515844682
2001-04-02,0.18332058790180805
2001-05-02,0.19732158177017284
2001-06-01,0.19982007467348886
2001-07-02,0.2055752045039323
2001-08-01,0.21470150664864077
2001-08-30,0.22558389239793053
2001-10-05,0.24675730194105083
2001-11-05,0.2532001358305196
2001-12-05,0.2524982014559469
2002-01-07,0.24278942960542463
2002-02-06,0.2508350481886484
2002-03-08,0.2592346743770822
2002-04-09,0.2573895578644465
2002-05-08,0.24323779925550887
2002-06-07,0.2413968467680406
2002-07-09,0.23428201550501776
2002-08-07,0.23898617746945608
2002-09-06,0.2493475408709093
2002-10-07,0.24820687275491965
2002-11-05,0.2632596686557876
2002-12-05,0.2764503349163518
2003-01-07,0.2869015245204033
2003-02-06,0.28955811838499734
2003-03-10,0.29001473871284195
2003-04-08,0.30095197231394155
2003-05-08,0.30086179312804334
2003-06-09,0.3016472072131963
2003-07-09,0.3022434418305451
2003-08-07,0.30421904237938435
2003-09-08,0.29562932666539943
2003-10-07,0.29131395390568704
2003-11-05,0.2756584994777917
2003-12-05,0.2625796236316311
2004-01-07,0.2589572227552884
2004-02-06,0.24829675341409618
2004-03-09,0.2544640861667607
2004-04-07,0.24238217498943637
2004-05-07,0.25093922071651914
2004-06-08,0.25576526419830153
2004-07-09,0.2606835121424672
2004-08-09,0.2749778945029323
2004-09-08,0.284296531548409
2004-10-07,0.27575171447458036
2004-11-05,0.2724194959552522
2004-12-07,0.2629432182219099
2005-01-06,0.26064784382238165
2005-02-07,0.2639895527625366
2005-03-09,0.2615128119367231
2005-04-08,0.24872787751943742
2005-05-09,0.259079435203622
2005-06-08,0.24769810304204976
2005-07-08,0.23990332331502298
2005-08-08,0.2288840379775329
2005-09-07,0.2238069499526089
2005-10-06,0.2221192583698368
2005-11-04,0.23423714032138407
2005-12-06,0.2330463242440508
2006-01-06,0.23513690814796356
2006-02-07,0.2343559021678403
2006-03-09,0.23054935816179267
2006-04-07,0.22715744671855329
2006-05-09,0.20328572479997425
2006-06-08,0.22878398778438203
2006-07-10,0.25889110799346565
2006-08-08,0.2711964932783586
2006-09-07,0.2750002054390521
2006-10-06,0.26835622402063863
2006-11-06,0.26035095463246233
2006-12-06,0.2613040412060839
2007-01-09,0.2566321685682287
2007-02-08,0.25636292748750705
2007-03-12,0.2714117687005952
2007-04-11,0.26763486263906344
2007-05-10,0.2758209931182447
2007-06-11,0.2644131496741596
2007-07-11,0.24206254964656543
2007-08-09,0.25666517448623344
2007-09-10,0.274157231863163
2007-10-09,0.28702715083609076
2007-11-07,0.304766913487601
2007-12-07,0.3158165322665466
2008-01-09,0.33518722582061267
2008-02-08,0.3361233816671214
2008-03-11,0.33850959529721875
2008-04-10,0.3513285166511997
2008-05-09,0.3539452945579821
2008-06-10,0.3539677738070366
2008-07-10,0.3564999266078507
2008-08-08,0.3358388581424906
2008-09-09,0.33176871976582023
2008-10-08,0.40280781119298253
2008-11-06,0.4907927497153523
2008-12-08,0.5355090085698909
2009-01-08,0.5316610397572059
2009-02-09,0.5408592539290306
2009-03-11,0.5496853363731243
2009-04-09,0.555090088543017
2009-05-11,0.5536995846426501
2009-06-10,0.5568707652659296
2009-07-10,0.5591403987395746
2009-08-10,0.5723322655425211
2009-09-09,0.5794049002104646
2009-10-08,0.5690148176874794
2009-11-06,0.543620386108086
2009-12-08,0.4960429404999384
2010-01-08,0.4984392544662036
2010-02-09,0.49713864196849544
2010-03-11,0.46224032809124593
2010-04-12,0.41723416591041174
2010-05-11,0.4425062123738768
