portefeuille,titres,rho_moyen,paires
P1,135,0.33796390001590776,8911
P2,111,0.3581416085480065,5995
P3,24,0.41069629906956495,276
P4,11,0.3833127328687972,55
P5,34,0.41766113982878456,561
P6,24,0.526575776198135,276
P7,28,0.47742656536910494,378
P8,7,0.45519957326983257,21
P9,13,0.4739976430525304,66
P10,18,0.4114620473880011,153
