serie,volatilite,volatilite_baisse,sharpe,sortino
P4_reeq,0.31150732916841967,0.21026604230766766,0.8397064436775421,1.2440178579704235
P1_reeq,0.2173053316826406,0.15167979814856025,0.8114998367166424,1.1626020296084663
P2_reeq,0.23819138288766334,0.1654119442465595,0.7815995837676506,1.125494815806876
P1_cons,0.23522439653337382,0.165503866709411,0.7698422377929693,1.0941477042871786
P2_cons,0.2555681446062994,0.1788528220924653,0.7441866992197687,1.0633906232799375
P7_reeq,0.23054593264715975,0.1606761371171351,0.7409134723638071,1.0630986689232724
P5_cons,0.34729502310376026,0.23751414203884785,0.7192345904868481,1.051670404027135
P7_cons,0.23858100654334974,0.16685813963591736,0.7189858117894254,1.0280371041017176
P3_reeq,0.18461916237326834,0.1302387619365302,0.7130381738194076,1.0107629129249311
P5_reeq,0.32175939060966696,0.22083439965666368,0.6910881771562322,1.006926960134152
P8_reeq,0.266484338935309,0.18184368004725449,0.6560864814793859,0.9614674112182139
P3_cons,0.23002612711221168,0.16124915195580022,0.633178567807784,0.9032457656782263
P10_reeq,0.2302092103290757,0.16265751983317,0.6078219980226817,0.8602505579143106
P10_cons,0.27221142480506133,0.19092229148382184,0.6056884768723712,0.8635729332392105
P6_reeq,0.18938488938638068,0.1341502002540089,0.5896837587914726,0.8324787679795572
P6_cons,0.19533728177634385,0.1381866127763998,0.5668935906481781,0.8013471842806356
P4_cons,0.34364284795048733,0.23732235494446793,0.5627318268944236,0.814835870272861
RSP,0.19580460373819253,0.13904489417061858,0.5578180468351421,0.7855257272844713
P9_reeq,0.34381000511022836,0.2346722581120475,0.5443797732797526,0.797551504975305
P8_cons,0.2573632181462172,0.17749630833552782,0.5305577411332598,0.7692895077700735
P9_cons,0.35176212147969677,0.23969277368861294,0.45580400076168304,0.6689170466822459
SP500TR,0.19236500098902082,0.13659717751222433,0.41970006722837166,0.5910488438917607
SPY,0.19108258794473476,0.135467511389545,0.41310964408744255,0.5827084227609796
SPXEW,0.2094336741782631,0.15027606893511175,0.4074695252651305,0.5678737832089367
GSPC,0.1923617993982424,0.13714057356104842,0.324395222698635,0.4550166820377555
