serie,vol_quotidienne,med_glissante_252,vol_mensuelle,rendement_annualise,contre_SPY
P3_reeq,0.18461916237326834,0.14969401585047287,0.15174796256076442,0.14262838266784095,0.9661747015204976
P6_reeq,0.18938488938638068,0.1610800127874527,0.15719451441845148,0.11907492965653144,0.9911153675663787
SPY,0.19108258794473476,0.15343942574704594,0.15008582920864183,0.08271027732642766,1.0
GSPC,0.1923617993982424,0.15560324138503323,0.15122637758043622,0.06467589971337562,1.0066945474585975
SP500TR,0.19236500098902082,0.15556401664041078,0.15131703707139071,0.08436864136872879,1.0067113024691552
P6_cons,0.19533728177634385,0.1618670326018792,0.16027004374056417,0.11674632616501635,1.0222662560590798
RSP,0.19580460373819253,0.14647559102872798,0.1626539946465674,0.11271424554386833,1.024711910406109
SPXEW,0.2094336741782631,0.16083625610458896,0.17346210475046864,0.08159682612014008,1.0960374591474336
P1_reeq,0.2173053316826406,0.1752896452189282,0.1910306527174285,0.1870037045363715,1.1372325130193968
P3_cons,0.23002612711221168,0.18126511067098428,0.21635995147330853,0.1478972402984553,1.203804750534048
P10_reeq,0.2302092103290757,0.18625145921537312,0.1986273879577079,0.14123866092954174,1.204762887111709
P7_reeq,0.23054593264715975,0.19442035233255886,0.20387178769578987,0.17697236865607424,1.2065250692221032
P1_cons,0.23522439653337382,0.19988392232738506,0.19972814621756826,0.18779285053826156,1.2310090577243271
P2_reeq,0.23819138288766334,0.1943737501955628,0.21464465536644753,0.1930449500918936,1.2465363037502584
P7_cons,0.23858100654334974,0.1981886503565348,0.2115681223276616,0.17558233934726064,1.248575336505033
P2_cons,0.2555681446062994,0.21930655328198725,0.2212388370108887,0.19268835223985215,1.3374747922098231
P8_cons,0.2573632181462172,0.1878841227138036,0.1902454793252522,0.13000140474514232,1.3468690209526168
P8_reeq,0.266484338935309,0.19262639399111173,0.23544648329029946,0.171295361168055,1.3946029400249804
P10_cons,0.27221142480506133,0.2093487027728373,0.2591504516037079,0.157767469299958,1.4245747230710042
P4_reeq,0.31150732916841967,0.23086514126684374,0.30631822537084236,0.26096692684815426,1.6302235202011937
P5_reeq,0.32175939060966696,0.2573564736804878,0.3079530588439992,0.20850180079862102,1.683876035333616
P4_cons,0.34364284795048733,0.2588190342220966,0.35536234794771343,0.16553094812262503,1.7983995907040797
P9_reeq,0.34381000511022836,0.2733584781936814,0.3097755172721613,0.15835550778783913,1.799274380822525
P5_cons,0.34729502310376026,0.2826454610139179,0.320284557193934,0.23152193862110204,1.8175126621385593
P9_cons,0.35176212147969677,0.26527860380681306,0.31536050007981464,0.124701740003071,1.8408905032280285
