serie,asymetrie,aplatissement_exces,jarque_bera,au_dela_3sigma_pct,var99_historique,var99_gaussienne,erreur_var99_pct
P1_reeq,-0.14770353895332283,7.083272210523573,14047.672948739772,1.3565891472868217,0.03583185254846421,0.031066058447215848,-13.300440145544822
P1_cons,-0.18006652360623263,7.750896041277883,16827.60082860248,1.520572450805009,0.042383943636882394,0.03367281639461071,-20.552894551065993
P10_reeq,-0.2169190359649608,11.711814104948534,38390.66802587688,1.4013118664281454,0.03810925728103529,0.033101301276089505,-13.14104855944791
P10_cons,-0.09028242837976005,11.720294555215949,38402.71532192167,1.5652951699463327,0.04786201585075752,0.03915663893059589,-18.188487813189013
P2_reeq,-0.07920045411349408,5.488522293865282,8426.636505126347,1.4162194394752534,0.039676531597052214,0.03408737475433257,-14.086808039276521
P2_cons,-0.13328159926645403,5.867926192209328,9643.760039219927,1.550387596899225,0.045372482359221214,0.03661753844951246,-19.295712851667357
P3_reeq,-0.1501549107829488,14.80516782900411,61289.64893127707,1.311866428145498,0.031053278262386352,0.026454134532316945,-14.810493408163527
P3_cons,0.010776454223914027,12.344292212947131,42590.77312723388,1.6845557543231964,0.04193426825711032,0.03305177121452014,-21.181953117982644
P4_reeq,0.2501790399702115,5.267916938370547,7826.3653282263695,1.6696481812760882,0.05307369099010414,0.0445307132249767,-16.096445537809533
P4_cons,0.15842044561721566,4.615772581782036,5982.905637246383,1.4311270125223614,0.059612984103194884,0.04950996411076596,-16.947683704173876
P5_reeq,0.11530444995230285,4.326018513723335,5245.548852498939,1.326774001192606,0.05383236816880061,0.046188486228890685,-14.199416076107262
P5_cons,0.11681824233410984,4.693434495179909,6172.174286219831,1.4013118664281454,0.05973609915248945,0.04982125567358168,-16.597741766830087
P6_reeq,-0.06132204233396782,11.520454055368292,37099.68494813294,1.3864042933810377,0.03348769617759971,0.02723164851251135,-18.681630506648883
P6_cons,-0.027150354085562215,11.792349005077273,38867.952993035135,1.3416815742397137,0.03435281192357767,0.028107555273445384,-18.179753855450542
P7_reeq,-0.1260599272092287,5.7178322301276605,9155.628968289582,1.4162194394752534,0.038728868607905725,0.03302806637536467,-14.7197747764244
P7_cons,-0.17790135643903443,5.624770175107972,8878.21550857052,1.5056648777579011,0.04054992182910505,0.03420253519855392,-15.653264776444619
P8_reeq,0.1633362040055242,9.279605062745507,24097.870902661234,1.714370900417412,0.04771684667296304,0.03827795253883028,-19.78105175059892
P8_cons,0.1779122766475161,12.55884727028392,44119.4260159572,1.7740011926058439,0.04480115351196129,0.037093434682425215,-17.2042865536447
P9_reeq,0.27050414760364433,4.678687469429018,6200.094392175021,1.6994633273703041,0.06121846036341399,0.0495591215852129,-19.04546228210775
P9_cons,0.39280442135936583,6.362735853623056,11487.89406868832,1.8038163387000599,0.06085067310424143,0.05083076211103961,-16.466393027464154
GSPC,-0.12129411861323787,10.53178563199846,31018.17146351315,1.5652951699463327,0.03395923794061064,0.02786337741495376,-17.950522141626323
RSP,-0.2080743448906339,11.768900643567918,33941.97946157156,1.6683690840994212,0.03548449578698089,0.028189905486632888,-20.55711977461535
SP500TR,-0.11898086306001004,10.523983723175046,30971.635143255993,1.550387596899225,0.0339017694911386,0.02779109114821585,-18.024658991678855
SPXEW,-0.29365682188777803,11.11982287575331,25574.050859010134,1.8181818181818181,0.03858687960875259,0.030288427022450083,-21.505891822411527
SPY,0.026389067940254023,11.83155026341993,39126.74862330485,1.550387596899225,0.033268426951212564,0.027610319678646713,-17.007438556873588
