serie,beta,beta_hausse,beta_baisse,capture_hausse,capture_baisse,jours_hausse,jours_baisse,asymetrie,gain_net
P1_reeq,1.0496221837515178,1.0073842360005119,1.024724080585539,1.137575653585908,1.0509994727424172,3654,3033,0.017339844585027242,0.08657618084349084
P1_cons,1.0991641927053417,1.0455542100763042,1.0770619640176164,1.1926334417053586,1.1059480045451264,3654,3033,0.03150775394131222,0.08668543716023214
P2_reeq,1.13452904494174,1.0846318505127273,1.0861080844427924,1.2420031672861567,1.155973886536069,3654,3033,0.0014762339300651295,0.08602928075008776
P2_cons,1.186535944487645,1.1223384368164475,1.1350875570620522,1.304361201636571,1.2196060243779747,3654,3033,0.012749120245604706,0.08475517725859638
P3_reeq,0.723799806959488,0.7290971133314282,0.7985123005622458,0.7165868724235486,0.6332082340235194,3654,3033,0.06941518723081752,0.08337863840002913
P3_cons,0.7788134047215579,0.7893652181650822,0.8876433404459061,0.7523100788503215,0.6580203940961649,3654,3033,0.09827812228082389,0.09428968475415667
P4_reeq,1.1880952300921792,1.1481121829415373,1.1442604380181736,1.324334680006014,1.1654308186403883,3654,3033,-0.003851744923363709,0.15890386136562573
P4_cons,1.2709643720470953,1.1887269344844438,1.2134288004317477,1.4017057096406456,1.3215453645992492,3654,3033,0.024701865947303947,0.08016034504139635
P5_reeq,1.3456085983635515,1.2734181271248943,1.2386761354953635,1.50976261937252,1.4134871988551942,3654,3033,-0.034741991629530844,0.09627542051732574
P5_cons,1.4050482899651022,1.3290422032995872,1.2928539052252044,1.5865686627291387,1.4680202090794159,3654,3033,-0.03618829807438284,0.11854845364972277
P6_reeq,0.6113631685298163,0.6386700344653837,0.6726859159571061,0.5944403891426969,0.519030869032893,3654,3033,0.03401588149172241,0.07540952010980395
P6_cons,0.6197122385017084,0.6516050794117958,0.6774575858430502,0.6010783831384976,0.5277087072637523,3654,3033,0.025852506431254363,0.0733696758747453
P7_reeq,1.0432359573121697,1.008977347729712,1.0077458285657288,1.1299920248805648,1.0488519360151392,3654,3033,-0.0012315191639831191,0.08114008886542567
P7_cons,1.062618097717943,1.0219321008951718,1.020174411837995,1.1567700929078422,1.0777667800286113,3654,3033,-0.001757689057176881,0.0790033128792309
P8_reeq,0.951768370239746,0.9325326202103879,0.9960814624106558,0.9873639489622106,0.8889915315880031,3654,3033,0.06354884220026791,0.09837241737420743
P8_cons,0.9288606858956008,0.9273980021558585,0.9722775004735565,0.9364093334107169,0.8710598730413551,3654,3033,0.044879498317698,0.06534946036936173
P9_reeq,1.3752573720765824,1.3312022937161603,1.2534697023864174,1.511119325729091,1.4527634042257336,3654,3033,-0.07773259132974286,0.05835592150335733
P9_cons,1.3666019672010488,1.3567351410319006,1.2840748247799152,1.4446083511520085,1.4076268868542432,3654,3033,-0.07266031625198544,0.036981464297765276
P10_reeq,0.9839768376187182,0.9547757206924071,1.0482109638335293,0.9950826543457073,0.9314691512322046,3654,3033,0.09343524314112217,0.06361350311350267
P10_cons,1.001799502721842,0.9798816485831664,1.1027820676141218,0.9983327702536545,0.9091021222809736,3654,3033,0.12290041903095539,0.08923064797268088
RSP,1.0225034342515094,1.0125517012239118,1.0344806514977465,1.0195704431881643,1.0220715012227863,3243,2610,0.02192895027383468,-0.0025010580346220834
GSPC,0.9944759788690296,0.9882925805757448,0.9990707408829975,0.987253208199537,1.0030458077695346,3654,3033,0.01077816030725276,-0.015792599569997567
SP500TR,0.9944792145340247,0.988649894872431,0.9988587997337751,0.9966553374054443,0.9942782823889585,3654,3033,0.01020890486134407,0.002377055016485774
SPXEW,1.0331016498823804,1.0162523712377185,1.0553823853109319,1.0148258314281593,1.0415163312383153,2732,2219,0.03913001407321337,-0.026690499810156032
