date,P1_reeq,P1_cons,P10_reeq,P10_cons,P2_reeq,P2_cons,P3_reeq,P3_cons,P4_reeq,P4_cons,P5_reeq,P5_cons,P6_reeq,P6_cons,P7_reeq,P7_cons,P8_reeq,P8_cons,P9_reeq,P9_cons
2000-01-03,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2000-01-04,97.93423214982701,97.93423214982701,98.42557263259893,98.42557263259893,97.27263225423515,97.27263225423515,100.10806037820032,100.10806037820032,94.51886053396396,94.51886053396396,96.15768457182789,96.15768457182789,100.95485843945453,100.95485843945453,97.90949085885401,97.90949085885401,98.19223659217532,98.19223659217532,94.97591260158885,94.97591260158885
2000-01-05,99.07573606279836,99.07573606279836,100.61392563644829,100.61392563644829,98.01973834235808,98.01973834235808,102.54544285853076,102.54544285853076,89.1190896097005,89.1190896097005,96.40978860921388,96.40978860921388,104.51927257864656,104.51927257864656,99.26334792722926,99.26334792722926,97.93567093365094,97.93567093365094,93.17079044926845,93.17079044926845
2000-01-06,98.86836191680295,98.86836191680295,102.84524717763695,102.84524717763695,97.74084817600807,97.74084817600807,102.5730499222719,102.5730499222719,85.7734202765259,85.7734202765259,93.88663896380734,93.88663896380734,104.64091161162018,104.64091161162018,100.45265989105239,100.45265989105239,97.69002755594269,97.69002755594269,91.11895238704614,91.11895238704614
2000-01-07,101.77470219029968,101.77470219029968,105.6002355263369,105.6002355263369,101.09179515253405,101.09179515253405,104.01853960010105,104.01853960010105,90.7579869927505,90.7579869927505,99.00319231036362,99.00319231036362,105.66437849557612,105.66437849557612,103.00830389483218,103.00830389483218,100.02358721194366,100.02358721194366,94.05478430305435,94.05478430305435
2000-01-10,103.49859271559549,103.49859271559549,104.34512661141406,104.34512661141406,103.48722289347124,103.48722289347124,103.53595070257512,103.53595070257512,98.4811233966615,98.4811233966615,103.26230393584693,103.26230393584693,105.47059653027723,105.47059653027723,102.90100428219924,102.90100428219924,105.32939627950391,105.32939627950391,100.61217190579086,100.61217190579086
2000-01-11,102.59784391620808,102.59784391620808,103.8903893264646,103.8903893264646,102.52670112413296,102.52670112413296,102.83159880445481,102.83159880445481,101.85034302813602,101.85034302813602,100.59342664348416,100.59342664348416,105.05967561532864,105.05967561532864,101.99215843582041,101.99215843582041,108.69406289560315,108.69406289560315,98.07438611223674,98.07438611223674
2000-01-12,102.33434579993053,102.33434579993053,103.2455495015879,103.2455495015879,102.07661614598868,102.07661614598868,103.18117180573944,103.18117180573944,94.42580929610611,94.42580929610611,100.66068923789953,100.66068923789953,106.21709529208988,106.21709529208988,101.72293759606778,101.72293759606778,109.31632754692401,109.31632754692401,97.27310138367454,97.27310138367454
2000-01-13,103.14765498677596,103.14765498677596,104.72884504731883,104.72884504731883,103.12114452665365,103.12114452665365,103.23476078432084,103.23476078432084,99.13269118739963,99.13269118739963,101.24855032290482,101.24855032290482,105.96247456876567,105.96247456876567,103.18611461088443,103.18611461088443,108.47104405169273,108.47104405169273,97.2194577373024,97.2194577373024
2000-01-14,104.26417537437082,104.26417537437082,104.61200738624568,104.61200738624568,104.76980821927008,104.76980821927008,102.60281031255906,102.60281031255906,99.46194341327865,99.46194341327865,103.61203780700197,103.61203780700197,105.24477605171045,105.24477605171045,103.14870440842883,103.14870440842883,109.89278648336575,109.89278648336575,105.66580452611802,105.66580452611802
2000-01-18,104.54235318893788,104.54235318893788,106.02487995023478,106.02487995023478,105.30133922061334,105.30133922061334,102.04854194200418,102.04854194200418,105.01602303386247,105.01602303386247,106.99684663363242,106.99684663363242,102.96896359408183,102.96896359408183,101.85263152471906,101.85263152471906,109.58261692663682,109.58261692663682,104.6607116033014,104.6607116033014
2000-01-19,105.75301122893141,105.75301122893141,105.39403203570899,105.39403203570899,106.54928578265967,106.54928578265967,103.13668055239563,103.13668055239563,103.14415618655471,103.14415618655471,109.59246650818777,109.59246650818777,104.58711889129357,104.58711889129357,102.70663313546339,102.70663313546339,109.92107354657892,109.92107354657892,107.72520770002927,107.72520770002927
2000-01-20,105.50357494413336,105.50357494413336,103.6014305251157,103.6014305251157,106.15065866962391,106.15065866962391,103.37744270323594,103.37744270323594,103.25222626378219,103.25222626378219,109.29354868865917,109.29354868865917,104.73803013292235,104.73803013292235,102.40285965266094,102.40285965266094,112.28533108128272,112.28533108128272,108.41276723339719,108.41276723339719
2000-01-21,106.45677054552085,106.45677054552085,104.00073664739405,104.00073664739405,106.6486871621696,106.6486871621696,105.82618737653215,105.82618737653215,102.2030902709637,102.2030902709637,110.0893709535151,110.0893709535151,107.71740500774257,107.71740500774257,101.73316275002873,101.73316275002873,116.10403638565263,116.10403638565263,109.44337760814973,109.44337760814973
2000-01-24,105.32450213818976,105.32450213818976,102.6967502807193,102.6967502807193,105.46054890387352,105.46054890387352,104.87749133665744,104.87749133665744,103.67743193496067,103.67743193496067,107.5274826906639,107.5274826906639,108.16565320998238,108.16565320998238,99.60033214958418,99.60033214958418,115.27538388305965,115.27538388305965,108.96381591416737,108.96381591416737
2000-01-25,104.61671410795985,104.61671410795985,101.24892797171898,101.24892797171898,105.0774719736441,105.0774719736441,103.1027954064259,103.1027954064259,107.67156824195507,107.67156824195507,109.86259756253041,109.86259756253041,104.9818052916057,104.9818052916057,98.0842206723895,98.0842206723895,113.6272426081451,113.6272426081451,108.93883388609487,108.93883388609487
2000-01-26,104.04828234932589,104.04828234932589,102.40221566549003,102.40221566549003,104.34358350190497,104.34358350190497,103.07800713370884,103.07800713370884,106.49992132497684,106.49992132497684,107.41554893385175,107.41554893385175,105.13394273564224,105.13394273564224,99.05405535047092,99.05405535047092,111.03084542881845,111.03084542881845,104.92882758369078,104.92882758369078
2000-01-27,102.8246869650534,102.8246869650534,101.48272206268967,101.48272206268967,102.97506143088528,102.97506143088528,102.33059943446307,102.33059943446307,102.02558977533269,102.02558977533269,105.24757711521416,105.24757711521416,105.57244272432777,105.57244272432777,98.22411871120119,98.22411871120119,110.06964569145228,110.06964569145228,101.55775788935006,101.55775788935006
2000-01-28,100.36914642999777,100.36914642999777,99.62940006503422,99.62940006503422,100.37467953215577,100.37467953215577,100.35096623719288,100.35096623719288,100.39442922250083,100.39442922250083,100.44944140503645,100.44944140503645,103.70604994241394,103.70604994241394,96.72997207038993,96.72997207038993,109.88495492367196,109.88495492367196,98.32296489613528,98.32296489613528
2000-01-31,101.17153864644169,101.17153864644169,99.26350815615301,99.26350815615301,100.75174186826803,100.75174186826803,102.55087091758374,102.55087091758374,102.29627253614662,102.29627253614662,102.00905599000261,102.00905599000261,105.82206267805722,105.82206267805722,96.57321870641825,96.57321870641825,106.04483725058044,106.04483725058044,99.65831247043909,99.65831247043909
2000-02-01,102.44851723188262,102.44851723188262,101.46860300439693,101.46860300439693,102.61791283770118,102.61791283770118,101.8919316699072,101.8919316699072,109.80547192126184,109.80547192126184,103.89857092498579,103.89857092498579,104.67049382183043,104.67049382183043,96.55382260367757,96.55382260367757,109.56635533564464,109.56635533564464,103.39836027559738,103.39836027559738
2000-02-02,102.8400660101922,102.8400660101922,101.54082591017435,101.54082591017435,103.17966575456494,103.17966575456494,101.72423827868177,101.72423827868177,111.25670078216419,111.25670078216419,105.1720369836027,105.1720369836027,103.70423128139053,103.70423128139053,96.27117045168838,96.27117045168838,110.73506272454554,110.73506272454554,106.72257404137102,106.72257404137102
2000-02-03,104.97218608200771,104.97218608200771,101.74285175812712,101.74285175812712,105.43946320871977,105.43946320871977,103.4368469513824,103.4368469513824,118.37997169363312,118.37997169363312,108.9746358020286,108.9746358020286,106.02519285010625,106.02519285010625,96.36435659103181,96.36435659103181,111.92185191809152,111.92185191809152,110.9667833210711,110.9667833210711
2000-02-04,104.12553798231244,104.12553798231244,100.46218850641023,100.46218850641023,105.01131835611021,105.01131835611021,101.21511675411973,101.21511675411973,117.21831796160404,117.21831796160404,110.36455071350444,110.36455071350444,103.26899697201665,103.26899697201665,95.92279027059509,95.92279027059509,113.42812835869249,113.42812835869249,108.89709106357932,108.89709106357932
2000-02-07,104.28480326638547,104.28480326638547,100.13969884121809,100.13969884121809,105.44875512523832,105.44875512523832,100.4603900158691,100.4603900158691,118.34996850161058,118.34996850161058,112.09941609900308,112.09941609900308,102.66625585206494,102.66625585206494,95.278914816201,95.278914816201,109.57366547589473,109.57366547589473,111.24467072798181,111.24467072798181
2000-02-08,105.14627759232577,105.14627759232577,99.15844224512288,99.15844224512288,106.4663404645759,106.4663404645759,100.8089281549326,100.8089281549326,120.1327547130161,120.1327547130161,114.1410072744134,114.1410072744134,103.27943952560473,103.27943952560473,95.02050896386532,95.02050896386532,114.26160516692778,114.26160516692778,114.31437096884602,114.31437096884602
2000-02-09,103.83903849492468,103.83903849492468,97.10707346580155,97.10707346580155,105.1946684420993,105.1946684420993,99.38482581135091,99.38482581135091,116.99855177768428,116.99855177768428,112.77625542148571,112.77625542148571,102.5757659667028,102.5757659667028,93.42868156248711,93.42868156248711,112.45219089542053,112.45219089542053,114.76787665005865,114.76787665005865
2000-02-10,104.32970595822941,104.32970595822941,97.28929265408173,97.28929265408173,106.07773933339863,106.07773933339863,98.5861677255305,98.5861677255305,118.68532379290326,118.68532379290326,116.51603234848135,116.51603234848135,101.15315294028585,101.15315294028585,91.93801682579627,91.93801682579627,113.85425334686832,113.85425334686832,117.15611604176614,117.15611604176614
2000-02-11,103.29310167295102,103.29310167295102,95.38803492302887,95.38803492302887,104.97683360755511,104.97683360755511,97.76083960210919,97.76083960210919,116.44755569638852,116.44755569638852,116.07780110333688,116.07780110333688,100.8510424636393,100.8510424636393,91.23320314509316,91.23320314509316,114.15124376734607,114.15124376734607,113.66256212885997,113.66256212885997
2000-02-14,103.85064501995407,103.85064501995407,95.69991124958104,95.69991124958104,105.63259496288322,105.63259496288322,97.99566663604406,97.99566663604406,116.94922160286865,116.94922160286865,118.3217698287536,118.3217698287536,101.38294845859505,101.38294845859505,91.9079003307494,91.9079003307494,113.17607267079117,113.17607267079117,111.05259095456263,111.05259095456263
2000-02-15,104.72036120666925,104.72036120666925,98.9385751970168,98.9385751970168,106.61612299136179,106.61612299136179,98.49142962839387,98.49142962839387,116.4630157132613,116.4630157132613,118.5078407469572,118.5078407469572,101.3461730108338,101.3461730108338,92.95641048401592,92.95641048401592,115.3225679509232,115.3225679509232,111.23591210489414,111.23591210489414
2000-02-16,105.84645604185276,105.84645604185276,99.89822162574781,99.89822162574781,108.21232957477852,108.21232957477852,98.0728715765253,98.0728715765253,114.03282406683304,114.03282406683304,123.19952396571304,123.19952396571304,100.7823960310454,100.7823960310454,92.92751620921435,92.92751620921435,115.44780495466058,115.44780495466058,113.68267650805386,113.68267650805386
2000-02-17,106.17503708092835,106.17503708092835,99.89702405725937,99.89702405725937,108.88325298295446,108.88325298295446,97.27661340284256,97.27661340284256,110.6762589884296,110.6762589884296,125.22670460173882,125.22670460173882,99.90150999425661,99.90150999425661,93.27907808881666,93.27907808881666,117.23177143110807,117.23177143110807,115.00962088610736,115.00962088610736
2000-02-18,104.19945734286549,104.19945734286549,97.86940923544036,97.86940923544036,106.75419876227036,106.75419876227036,95.805306964821,95.805306964821,101.83065424653321,101.83065424653321,124.45000581681505,124.45000581681505,98.55039412735634,98.55039412735634,92.79183638392537,92.79183638392537,113.83018450675935,113.83018450675935,108.8939671184253,108.8939671184253
2000-02-22,104.72495283645654,104.72495283645654,97.22625922137904,97.22625922137904,107.56358943982313,107.56358943982313,95.39800399682336,95.39800399682336,104.84646106142945,104.84646106142945,125.40086485197209,125.40086485197209,98.30704963998518,98.30704963998518,93.49872010643749,93.49872010643749,110.99718322562309,110.99718322562309,112.17944953523829,112.17944953523829
2000-02-23,105.28051111782355,105.28051111782355,96.39136371062958,96.39136371062958,108.55202619977138,108.55202619977138,94.5312472771379,94.5312472771379,109.49234001863547,109.49234001863547,127.46354318035321,127.46354318035321,96.78420192559933,96.78420192559933,94.03287315602638,94.03287315602638,112.82596323312202,112.82596323312202,114.7494088982431,114.7494088982431
2000-02-24,105.28632829865066,105.28632829865066,95.05548550771007,95.05548550771007,109.25179241267624,109.25179241267624,92.25694620970943,92.25694620970943,111.86255923353778,111.86255923353778,132.53653936329886,132.53653936329886,94.32796737295403,94.32796737295403,92.10154913018165,92.10154913018165,111.611296260073,111.611296260073,115.81757415127394,115.81757415127394
2000-02-25,103.61808200817994,103.61808200817994,93.55449575804779,93.55449575804779,107.5037947348215,107.5037947348215,90.85074019207215,90.85074019207215,118.81429436522693,118.81429436522693,129.46290227457848,129.46290227457848,92.75323207658077,92.75323207658077,89.94612832966908,89.94612832966908,109.77476732293196,109.77476732293196,113.89911018965104,113.89911018965104
2000-02-28,104.72676486481447,104.72676486481447,95.23811651753769,95.23811651753769,108.56353142672963,108.56353142672963,92.12024616137894,92.12024616137894,117.07729661079715,117.07729661079715,130.44403845101533,130.44403845101533,93.68520648604867,93.68520648604867,91.42003510304434,91.42003510304434,112.6600863425359,112.6600863425359,114.54010947027994,114.54010947027994
2000-02-29,107.45661836683202,107.45661836683202,96.61723747494716,96.61723747494716,112.14862798303695,112.14862798303695,92.04001534215863,92.04001534215863,126.11320596507112,126.11320596507112,137.63245358215138,137.63245358215138,92.79837393200553,92.79837393200553,92.21560335797807,92.21560335797807,118.50576658567076,118.50576658567076,119.2215536851029,119.2215536851029
2000-03-01,108.68054706184836,108.68054706184836,98.06121231237942,98.06121231237942,113.67555431309599,113.67555431309599,92.26838037917756,92.26838037917756,128.4113913096879,128.4113913096879,141.5419441709117,141.5419441709117,92.05879957257147,92.05879957257147,93.26410219651271,93.26410219651271,117.92054669697217,117.92054669697217,119.38875891867707,119.38875891867707
2000-03-02,109.47579873842092,109.47579873842092,98.82637463754084,98.82637463754084,114.57527693905351,114.57527693905351,92.7203703649139,92.7203703649139,126.07012949053255,126.07012949053255,145.5559036476942,145.5559036476942,92.75450527556849,92.75450527556849,92.65618761188004,92.65618761188004,117.98679559673144,117.98679559673144,118.20685372646473,118.20685372646473
2000-03-03,112.15241267162759,112.15241267162759,99.16730287812904,99.16730287812904,117.96526791058186,117.96526791058186,93.05303117220654,93.05303117220654,131.1298934346856,131.1298934346856,152.13610032700564,152.13610032700564,93.32481694172262,93.32481694172262,93.76549533623664,93.76549533623664,121.01216727832991,121.01216727832991,124.11681912335027,124.11681912335027
2000-03-06,111.78325894752,111.78325894752,97.54009342228916,97.54009342228916,118.114855002251,118.114855002251,90.97944333911823,90.97944333911823,129.45454974511082,129.45454974511082,157.10009991394153,157.10009991394153,90.02041740235686,90.02041740235686,91.98786718943397,91.98786718943397,123.56641390368812,123.56641390368812,124.22330695598669,124.22330695598669
2000-03-07,111.75629404154111,111.75629404154111,98.6353911175215,98.6353911175215,117.68175383225484,117.68175383225484,92.28692615776741,92.28692615776741,131.55416303840659,131.55416303840659,157.86323924124545,157.86323924124545,90.55542437671902,90.55542437671902,89.76834165658735,89.76834165658735,120.09042637192344,120.09042637192344,124.45192188499628,124.45192188499628
2000-03-08,111.15802909538446,111.15802909538446,97.05461080887189,97.05461080887189,117.10631249608542,117.10631249608542,91.61366935022431,91.61366935022431,140.31864484596866,140.31864484596866,153.63354581362242,153.63354581362242,90.89137186497155,90.89137186497155,91.08652207386622,91.08652207386622,125.26298085022015,125.26298085022015,120.23166417705451,120.23166417705451
2000-03-09,113.95034829998978,113.95034829998978,97.62795552205128,97.62795552205128,120.51729522437289,120.51729522437289,92.3732369770166,92.3732369770166,142.050139327781,142.050139327781,162.05318004732842,162.05318004732842,91.54539627742253,91.54539627742253,91.56454413627382,91.56454413627382,124.75586598353145,124.75586598353145,126.98615418200023,126.98615418200023
2000-03-10,114.03416498328637,114.03416498328637,97.83990687352838,97.83990687352838,120.34821506821935,120.34821506821935,93.2880004185067,93.2880004185067,143.84236775909028,143.84236775909028,159.14119342499876,159.14119342499876,91.49521142367313,91.49521142367313,91.69116542478667,91.69116542478667,125.4477562810949,125.4477562810949,133.1072602556699,133.1072602556699
2000-03-13,114.13242579372141,114.13242579372141,97.13158534173047,97.13158534173047,120.74294627905958,120.74294627905958,92.41214419903886,92.41214419903886,147.27410863637402,147.27410863637402,162.429853581929,162.429853581929,91.24552684142152,91.24552684142152,91.39157629487296,91.39157629487296,124.75558440704188,124.75558440704188,127.67831823979827,127.67831823979827
2000-03-14,110.24030892846622,110.24030892846622,96.61330533101543,96.61330533101543,115.86698516240625,115.86698516240625,91.7526584455206,91.7526584455206,144.26804738802053,144.26804738802053,150.04548269072703,150.04548269072703,90.73107024856859,90.73107024856859,90.65547761371634,90.65547761371634,119.69612932452807,119.69612932452807,120.86768093162279,120.86768093162279
2000-03-15,110.7537479258302,110.7537479258302,98.97106099747853,98.97106099747853,115.56210321631659,115.56210321631659,94.95486625708922,94.95486625708922,139.5371051876581,139.5371051876581,146.05605015328385,146.05605015328385,95.24770821383075,95.24770821383075,94.02087604679772,94.02087604679772,114.51903536992644,114.51903536992644,115.73519064541702,115.73519064541702
2000-03-16,115.1377068505187,115.1377068505187,104.12822903249892,104.12822903249892,120.07465212692826,120.07465212692826,98.91631522803021,98.91631522803021,136.69060562240855,136.69060562240855,150.34658047387134,150.34658047387134,100.41851336804265,100.41851336804265,99.02139933559329,99.02139933559329,116.1082732277388,116.1082732277388,119.947642805254,119.947642805254
2000-03-17,116.94998426769496,116.94998426769496,102.9626449212746,102.9626449212746,122.96979125287888,122.96979125287888,97.17061845923361,97.17061845923361,142.75736180116732,142.75736180116732,158.65448122016207,158.65448122016207,97.76311919097243,97.76311919097243,98.38207860093522,98.38207860093522,122.66564341454911,122.66564341454911,125.8662893266133,125.8662893266133
2000-03-20,115.87305852981996,115.87305852981996,102.26136827320352,102.26136827320352,121.82601908276517,121.82601908276517,96.31333099871424,96.31333099871424,140.3108242662417,140.3108242662417,156.4123494144044,156.4123494144044,97.36649507227881,97.36649507227881,98.22743931069228,98.22743931069228,118.78655820642096,118.78655820642096,124.49649378701643,124.49649378701643
2000-03-21,116.7799107797737,116.7799107797737,104.14007522585331,104.14007522585331,122.87033790128744,122.87033790128744,96.7685073805143,96.7685073805143,141.97392288822726,141.97392288822726,157.2059118394313,157.2059118394313,96.50321041131247,96.50321041131247,99.82209511780201,99.82209511780201,118.9853543409534,118.9853543409534,126.66468015915855,126.66468015915855
2000-03-22,118.97784184987299,118.97784184987299,104.35419122767323,104.35419122767323,126.21632208494394,126.21632208494394,95.1942639346399,95.1942639346399,144.25298192816047,144.25298192816047,166.158287267256,166.158287267256,94.2843641609083,94.2843641609083,99.96301397578219,99.96301397578219,125.76374232729381,125.76374232729381,131.51879480079577,131.51879480079577
2000-03-23,120.59766687879457,120.59766687879457,104.8293819829887,104.8293819829887,127.92952930237679,127.92952930237679,96.50726177273857,96.50726177273857,147.23541403150458,147.23541403150458,168.61205392170285,168.61205392170285,95.96656238244218,95.96656238244218,102.10719242153581,102.10719242153581,125.0989698574263,125.0989698574263,132.00500508425347,132.00500508425347
2000-03-24,121.47557156529582,121.47557156529582,105.02951794565578,105.02951794565578,128.949667637139,128.949667637139,96.91782732923981,96.91782732923981,145.34809989469312,145.34809989469312,169.88176201153786,169.88176201153786,96.42303113261872,96.42303113261872,103.06668803796053,103.06668803796053,124.25063737460806,124.25063737460806,136.15543340322108,136.15543340322108
2000-03-27,121.34111061216446,121.34111061216446,103.8664875010896,103.8664875010896,128.5800479237708,128.5800479237708,97.55603087402939,97.55603087402939,148.34980385206586,148.34980385206586,170.49688128016845,170.49688128016845,96.98318618713145,96.98318618713145,101.44895145756803,101.44895145756803,122.57448736012209,122.57448736012209,137.06416021068839,137.06416021068839
2000-03-28,119.84838095368727,119.84838095368727,102.74873182450175,102.74873182450175,126.97294176520386,126.97294176520386,96.43910971584693,96.43910971584693,146.59699987756807,146.59699987756807,169.26367332819643,169.26367332819643,95.72085306843971,95.72085306843971,100.14479398600913,100.14479398600913,122.92563841687357,122.92563841687357,132.6143507887856,132.6143507887856
2000-03-29,117.56343872275585,117.56343872275585,105.21133578649614,105.21133578649614,123.44401314647088,123.44401314647088,98.24155133054936,98.24155133054936,139.63582403595805,139.63582403595805,159.7003666066039,159.7003666066039,97.29377594516477,97.29377594516477,100.23285166670823,100.23285166670823,122.10968026030426,122.10968026030426,124.44172720221785,124.44172720221785
2000-03-30,115.86095821015743,115.86095821015743,105.71994910600378,105.71994910600378,121.2623162664209,121.2623162664209,98.11363888243476,98.11363888243476,129.52959439421136,129.52959439421136,152.5436905632402,152.5436905632402,98.14241564188224,98.14241564188224,101.74839681712106,101.74839681712106,121.72302333105169,121.72302333105169,120.51384615382521,120.51384615382521
