cik,nom,symboles,secteur,canal,degre,annee_recente,fin_exercice_recent,ca_md,mult_ventes,base_annees_ventes,base_periodes_ventes,base_n_ventes,base_repli_ventes,statut_ventes,fin_ventes,source_ventes,capex_md,mult_capex,base_annees_capex,base_periodes_capex,base_n_capex,base_repli_capex,statut_capex,fin_capex,source_capex,rd_md,mult_recherche,base_annees_recherche,base_periodes_recherche,base_n_recherche,base_repli_recherche,statut_recherche,fin_recherche,source_recherche,nb_multiples,couverture_comptes,motif_couverture,base_repli_utilisee,mult_depenses,corroboration
0000813672,Cadence Design Systems,CDNS,Information Technology,fournit,non_quantifie,2025,2025-12-31,5.296759,2.476134237483157,2017;2018;2019,2017-01-01/2017-12-30;2017-12-31/2018-12-29;2018-12-30/2019-12-28,3,,comparable_sur_reference,2025-12-31,https://www.sec.gov/Archives/edgar/data/813672/000081367226000016/0000813672-26-000016-index.htm,0.141871,2.1937796700153087,2017;2018;2019,2017-01-01/2017-12-30;2017-12-31/2018-12-29;2018-12-30/2019-12-28,3,,comparable_sur_reference,2025-12-31,https://www.sec.gov/Archives/edgar/data/813672/000081367226000016/0000813672-26-000016-index.htm,,,,,0,,valeur_recente_manquante,,,2,observation partielle,rd: valeur_recente_manquante,,2.1937796700153087,doublement observe
0000018230,Caterpillar Inc.,CAT,Industrials,fournit,non_quantifie,2025,2025-12-31,67.589,1.2456276146772083,2018;2019,2018-01-01/2018-12-31;2019-01-01/2019-12-31,2,,comparable_sur_reference,2025-12-31,https://www.sec.gov/Archives/edgar/data/18230/000001823026000008/0000018230-26-000008-index.htm,2.821,2.4193825042881647,2018;2019,2018-01-01/2018-12-31;2019-01-01/2019-12-31,2,,comparable_sur_reference,2025-12-31,https://www.sec.gov/Archives/edgar/data/18230/000001823026000008/0000018230-26-000008-index.htm,2.148,1.196657381615599,2017;2018;2019,2017-01-01/2017-12-31;2018-01-01/2018-12-31;2019-01-01/2019-12-31,3,,comparable_sur_reference,2025-12-31,https://www.sec.gov/Archives/edgar/data/18230/000001823026000008/0000018230-26-000008-index.htm,3,trois mesures comparables,,,2.4193825042881647,doublement observe
0000820318,Coherent Corp.,COHR,Information Technology,vend,non_quantifie,2025,2026-06-30,7.118181,4.356859859945024,2017;2018;2019,2017-07-01/2018-06-30;2018-07-01/2019-06-30;2019-07-01/2020-06-30,3,,comparable_sur_reference,2026-06-30,https://www.sec.gov/Archives/edgar/data/820318/000082031826000020/0000820318-26-000020-index.htm,1.102909,7.740853037991564,2017;2018;2019,2017-07-01/2018-06-30;2018-07-01/2019-06-30;2019-07-01/2020-06-30,3,,comparable_sur_reference,2026-06-30,https://www.sec.gov/Archives/edgar/data/820318/000082031826000020/0000820318-26-000020-index.htm,0.722952,3.6444562442972823,2017;2018;2019,2017-07-01/2018-06-30;2018-07-01/2019-06-30;2019-07-01/2020-06-30,3,,comparable_sur_reference,2026-06-30,https://www.sec.gov/Archives/edgar/data/820318/000082031826000020/0000820318-26-000020-index.htm,3,trois mesures comparables,,,7.740853037991564,doublement observe
0001035983,Comfort Systems USA,FIX,Industrials,fournit,non_quantifie,2025,2025-12-31,9.101641,5.319079018497122,2016;2017,2016-01-01/2016-12-31;2017-01-01/2017-12-31,2,oui,comparable_sur_repli,2025-12-31,https://www.sec.gov/Archives/edgar/data/1035983/000110465926017530/0001104659-26-017530-index.htm,0.154903,4.91833624384823,2017;2018;2019,2017-01-01/2017-12-31;2018-01-01/2018-12-31;2019-01-01/2019-12-31,3,,comparable_sur_reference,2025-12-31,https://www.sec.gov/Archives/edgar/data/1035983/000110465926017530/0001104659-26-017530-index.htm,,,,,0,,valeur_recente_manquante,,,2,observation partielle,rd: valeur_recente_manquante,oui,4.91833624384823,doublement observe
0001571996,Dell Technologies,DELL,Information Technology,vend,non_quantifie,2025,2026-01-30,113.538,1.294352356414875,2018;2019,2018-02-03/2019-02-01;2019-02-02/2020-01-31,2,,comparable_sur_reference,2026-01-30,https://www.sec.gov/Archives/edgar/data/1571996/000157199626000008/0001571996-26-000008-index.htm,2.633,2.05703125,2014;2020,2014-02-01/2015-01-30;2020-02-01/2021-01-29,2,oui,comparable_sur_repli,2026-01-30,https://www.sec.gov/Archives/edgar/data/1571996/000157199626000008/0001571996-26-000008-index.htm,3.142,0.8238070267435763,2017;2018;2019,2017-02-04/2018-02-02;2018-02-03/2019-02-01;2019-02-02/2020-01-31,3,,comparable_sur_reference,2026-01-30,https://www.sec.gov/Archives/edgar/data/1571996/000157199626000008/0001571996-26-000008-index.htm,3,trois mesures comparables,,oui,2.05703125,doublement observe
0001297996,Digital Realty,DLR,Real Estate,fournit,non_quantifie,2025,2025-12-31,6.112692,2.104523628281017,2017;2018;2019,2017-01-01/2017-12-31;2018-01-01/2018-12-31;2019-01-01/2019-12-31,3,,comparable_sur_reference,2025-12-31,https://www.sec.gov/Archives/edgar/data/1297996/000110465926015365/0001104659-26-015365-index.htm,3.181179,1.8173139543120644,2019;2020,2019-01-01/2019-12-31;2020-01-01/2020-12-31,2,oui,comparable_sur_repli,2025-12-31,https://www.sec.gov/Archives/edgar/data/1297996/000110465926015365/0001104659-26-015365-index.htm,,,,,0,,valeur_recente_manquante,,,2,observation partielle,rd: valeur_recente_manquante,oui,1.8173139543120644,doublement observe
0000715957,Dominion Energy,D,Utilities,fournit,non_quantifie,2025,2025-12-31,16.523,,,,0,,recent_non_reconcilie,2025-12-31,https://www.sec.gov/Archives/edgar/data/715957/000119312526063120/0001193125-26-063120-index.htm,12.653,2.042123950936088,2020;2021,2020-01-01/2020-12-31;2021-01-01/2021-12-31,2,oui,comparable_sur_repli,2025-12-31,https://www.sec.gov/Archives/edgar/data/715957/000119312526063120/0001193125-26-063120-index.htm,,,,,0,,valeur_recente_manquante,,,1,observation partielle,chiffre_affaires: recent_non_reconcilie ; rd: valeur_recente_manquante,oui,2.042123950936088,doublement observe
0000105634,Emcor,EME,Industrials,fournit,non_quantifie,2025,2025-12-31,16.986422,2.0390034651154334,2017;2018;2019,2017-01-01/2017-12-31;2018-01-01/2018-12-31;2019-01-01/2019-12-31,3,,comparable_sur_reference,2025-12-31,https://www.sec.gov/Archives/edgar/data/105634/000010563426000025/0000105634-26-000025-index.htm,0.11275,2.671906473399423,2017;2018;2019,2017-01-01/2017-12-31;2018-01-01/2018-12-31;2019-01-01/2019-12-31,3,,comparable_sur_reference,2025-12-31,https://www.sec.gov/Archives/edgar/data/105634/000010563426000025/0000105634-26-000025-index.htm,,,,,0,,valeur_recente_manquante,,,2,observation partielle,rd: valeur_recente_manquante,,2.671906473399423,doublement observe
0001711269,Evergy,EVRG,Utilities,fournit,non_quantifie,2025,2025-12-31,5.9616,,,,0,,recent_non_reconcilie,2025-12-31,https://www.sec.gov/Archives/edgar/data/1711269/000171126926000017/0001711269-26-000017-index.htm,2.7969,2.756109578242018,2017;2018;2019,2017-01-01/2017-12-31;2018-01-01/2018-12-31;2019-01-01/2019-12-31,3,,comparable_sur_reference,2025-12-31,https://www.sec.gov/Archives/edgar/data/1711269/000171126926000017/0001711269-26-000017-index.htm,,,,,0,,valeur_recente_manquante,,,1,observation partielle,chiffre_affaires: recent_non_reconcilie ; rd: valeur_recente_manquante,,2.756109578242018,doublement observe
0001996810,GE Vernova,GEV,Industrials,fournit,non_quantifie,2025,2025-12-31,38.068,1.210563973733166,2022;2023,2022-01-01/2022-12-31;2023-01-01/2023-12-31,2,oui,comparable_sur_repli,2025-12-31,https://www.sec.gov/Archives/edgar/data/1996810/000199681026000015/0001996810-26-000015-index.htm,1.277,2.0318217979315834,2022;2023,2022-01-01/2022-12-31;2023-01-01/2023-12-31,2,oui,comparable_sur_repli,2025-12-31,https://www.sec.gov/Archives/edgar/data/1996810/000199681026000015/0001996810-26-000015-index.htm,1.197,1.2768,2022;2023,2022-01-01/2022-12-31;2023-01-01/2023-12-31,2,oui,comparable_sur_repli,2025-12-31,https://www.sec.gov/Archives/edgar/data/1996810/000199681026000015/0001996810-26-000015-index.htm,3,trois mesures comparables,,oui,2.0318217979315834,doublement observe
