date,valeur_avant,valeur_avant_operation,valeur,frais,echange,rendement_attendu_avant_frais,tresorerie,serie
2000-01-03,0.0,0.0,1.0,0.0,0.0,0.0,0.0,P1_reeq
2000-01-04,1.0,0.9793423214982702,0.9793423214982702,0.0,0.0,-0.020657678501729906,0.0,P1_reeq
2000-01-05,0.9793423214982702,0.9907573606279836,0.9907573606279836,0.0,0.0,0.011655821339621035,0.0,P1_reeq
2000-01-06,0.9907573606279836,0.9886836191680296,0.9886836191680296,0.0,0.0,-0.0020930871092793863,0.0,P1_reeq
2000-01-07,0.9886836191680296,1.0177470219029967,1.0177470219029967,0.0,0.0,0.029396059741966764,0.0,P1_reeq
2000-01-10,1.0177470219029967,1.034985927155955,1.034985927155955,0.0,0.0,0.01693830085665531,0.0,P1_reeq
2000-01-11,1.034985927155955,1.0259784391620808,1.0259784391620808,0.0,0.0,-0.008703005284937516,0.0,P1_reeq
2000-01-12,1.0259784391620808,1.0233434579993053,1.0233434579993053,0.0,0.0,-0.0025682617316281297,5.4352441613588116e-05,P1_reeq
2000-01-13,1.0233434579993053,1.0314765498677596,1.0314765498677596,0.0,0.0,0.007947568145259215,0.00010588204701791621,P1_reeq
2000-01-14,1.0314765498677596,1.0426417537437083,1.0426417537437083,0.0,0.0,0.010824486390291653,0.00010588204701791621,P1_reeq
2000-01-18,1.0426417537437083,1.0454235318893788,1.0454235318893788,0.0,0.0,0.0026680095398847574,0.0001801465428762424,P1_reeq
2000-01-19,1.0454235318893788,1.0575301122893142,1.0575301122893142,0.0,0.0,0.011580550877839118,0.0001801465428762424,P1_reeq
2000-01-20,1.0575301122893142,1.0550357494413336,1.0550357494413336,0.0,0.0,-0.0023586683906150338,0.0001801465428762424,P1_reeq
2000-01-21,1.0550357494413336,1.0645677054552085,1.0645677054552085,0.0,0.0,0.009034723248877892,0.0001801465428762424,P1_reeq
2000-01-24,1.0645677054552085,1.0532450213818976,1.0532450213818976,0.0,0.0,-0.010635945478422565,0.0001801465428762424,P1_reeq
2000-01-25,1.0532450213818976,1.0461671410795985,1.0461671410795985,0.0,0.0,-0.006720070029870629,0.0001801465428762424,P1_reeq
2000-01-26,1.0461671410795985,1.0404828234932588,1.0404828234932588,0.0,0.0,-0.005433469818669601,0.0001801465428762424,P1_reeq
2000-01-27,1.0404828234932588,1.028246869650534,1.028246869650534,0.0,0.0,-0.011759880669287811,0.0005622031681733817,P1_reeq
2000-01-28,1.028246869650534,1.0036914642999777,1.0036914642999777,0.0,0.0,-0.023880846200778832,0.0008363388594586718,P1_reeq
2000-01-31,1.0036914642999777,1.0117153864644168,1.0117153864644168,0.0,0.0,0.007994411081333112,0.0008363388594586718,P1_reeq
2000-02-01,1.0117153864644168,1.0244851723188262,1.0244851723188262,0.0,0.0,0.01262191523945787,0.0008363388594586718,P1_reeq
2000-02-02,1.0244851723188262,1.028400660101922,1.028400660101922,0.0,0.0,0.0038219077141287256,0.0008363388594586718,P1_reeq
2000-02-03,1.028400660101922,1.0497218608200771,1.0497218608200771,0.0,0.0,0.020732387235187298,0.0012611380703874864,P1_reeq
2000-02-04,1.0497218608200771,1.0412553798231243,1.0412553798231243,0.0,0.0,-0.008065451728649897,0.0013986145298978442,P1_reeq
2000-02-07,1.0412553798231243,1.0428480326638547,1.0428480326638547,0.0,0.0,0.0015295506477971232,0.0013986145298978442,P1_reeq
2000-02-08,1.0428480326638547,1.0514627759232578,1.0514627759232578,0.0,0.0,0.008260784879075181,0.0016221697753040258,P1_reeq
2000-02-09,1.0514627759232578,1.0383903849492468,1.0383903849492468,0.0,0.0,-0.01243257609622224,0.0018464870292887044,P1_reeq
2000-02-10,1.0383903849492468,1.0432970595822941,1.0432970595822941,0.0,0.0,0.004725269709895337,0.0020738094336602893,P1_reeq
2000-02-11,1.0432970595822941,1.0329310167295103,1.0329310167295103,0.0,0.0,-0.009935849773154598,0.0022414621812990496,P1_reeq
2000-02-14,1.0329310167295103,1.0385064501995407,1.0385064501995407,0.0,0.0,0.0053976823037838444,0.0024287280978356482,P1_reeq
2000-02-15,1.0385064501995407,1.0472036120666925,1.0472036120666925,0.0,0.0,0.008374682569839403,0.0024287280978356482,P1_reeq
2000-02-16,1.0472036120666925,1.0584645604185277,1.0584645604185277,0.0,0.0,0.010753351327361481,0.0025841961204513897,P1_reeq
2000-02-17,1.0584645604185277,1.0617503708092835,1.0617503708092835,0.0,0.0,0.003104317814340876,0.0025841961204513897,P1_reeq
