date,GSPC,RSP,SP500TR,SPXEW,SPY
2011-11-10,85.18986655831033,202.56345496278576,105.94522319440213,98.65074522040914,105.31638804408759
2011-11-11,86.84941115639566,207.03966374916516,108.01004921260741,100.84151024007484,107.29870660007674
2011-11-14,86.01998697777951,205.15270101814934,106.99162900955625,99.71738978063065,106.28209305487373
2011-11-15,86.43435933510509,206.03023973526277,107.52656270530024,100.24096111031338,106.80733585199837
2011-11-16,84.99814867040647,202.47568825968503,105.770407623549,98.55794706643462,105.11304691722493
2011-11-17,83.57018384617204,198.65787944610312,103.99529061290013,96.54223574296805,103.44418294857944
2011-11-18,83.53720048431519,198.26301482474568,103.96131766504881,96.53959687189511,103.33406948809838
2011-11-21,81.97935738143649,194.6206538747695,102.02785940247973,94.77011796461687,101.36872044358152
2011-11-22,81.63989382914181,193.52361285730873,101.61330042127797,94.17272904387201,100.97055224667288
2011-11-23,79.83604282871083,188.91594648711848,99.37216504682408,91.84593343853204,98.74259854706824
2011-11-25,79.62164258819736,188.52093216621867,99.12042867372892,91.70463154698282,98.55618507299148
2011-11-28,81.94981328162473,194.44520601116372,102.0323590499159,94.56764575434286,101.41107306249533
2011-11-29,82.13122177183733,194.84015617511682,102.29508236702185,94.71896891969833,101.6990775684992
2011-11-30,85.68876087750506,203.61667678564288,106.74139251893983,99.12369527938792,105.88395834491422
2011-12-01,85.5252113845949,203.48504811664077,106.54110333428144,98.89275544288077,105.86701394865376
2011-12-02,85.50460097765638,203.265631358889,106.5196172129196,98.76516280836898,105.7738365126959
2011-12-05,86.3841880514668,205.67910876591333,107.62045778730143,100.03638423945193,106.92596336929607
2011-12-06,86.47970726343624,205.5475442538579,107.7413385597531,99.93462036010035,106.95985216181694
2011-12-07,86.65425400644668,205.81084436315996,107.98957520706456,99.95044071399613,107.35796175656462
2011-12-08,84.82222622257797,200.6326944228152,105.70897341275393,97.46968307222778,105.00290834153203
2011-12-09,86.25430977282248,204.40659849919794,107.4940896399276,99.30876381312237,106.78192762934502
2011-12-12,84.96790832974168,201.20317799296967,105.89577584927035,97.72593032595144,105.22316037770601
2011-12-13,84.22987624864086,198.17518396469828,104.99672434202564,96.38511349752305,104.24051097065939
2011-12-14,83.27400466498148,195.8933138410272,103.81597539461085,95.15238096647947,103.13072836123575
2011-12-15,83.54407061996137,196.8148214522866,104.16210681053344,95.62691434810199,103.50351345070283
2011-12-16,83.81276087012323,197.32602400368003,104.49875116492397,95.96910512728145,103.65694227988524
2011-12-19,82.82940035543514,194.59390042799097,103.27454220812578,94.51544759726606,102.5486749549098
2011-12-20,85.29982228242515,201.02747350157708,106.37127517752421,97.72962474545355,105.65181844179865
2011-12-21,85.46611479652738,201.77665555397067,106.58056365705492,98.01065164217914,105.85643207272828
2011-12-22,86.1725392205894,204.06808506270164,107.48860226500545,99.06622581643614,106.79418385272706
2011-12-23,86.95111265160224,205.69852693511788,108.46057488788226,99.83391202917794,107.74898886157096
2011-12-27,86.95799117569244,205.61031113339018,108.47106187106681,99.78909627483444,107.83427174927114
2011-12-28,85.87292916579776,202.70205535333042,107.14147092743038,98.33597295530456,106.41907979203265
2011-12-29,86.79237812555522,204.86127878053898,108.29175884694399,99.461142526907,107.51882468845415
2011-12-30,86.4199228229597,203.9358362098813,107.83323379844933,99.05462765625707,106.99027505510274
2012-01-03,87.75718340208782,207.06447110189342,109.50446870473868,100.54518432739714,108.6952798135982
2012-01-04,87.77367508301623,206.88825335492714,109.54842867494834,100.43762780422693,108.8657953585749
2012-01-05,88.03205593548682,207.72548012385715,109.87058635954439,100.85205285182477,109.15565001851826
2012-01-06,87.80872200210013,207.46119627470554,109.63333665624371,100.69598615480892,108.87432615886607
2012-01-09,88.00731002565018,208.0339467236438,109.88407310768638,101.03975382036126,109.13860516141045
2012-01-10,88.78932271870814,210.72203724824016,110.86204526047807,102.32046875103585,110.08490448517499
2012-01-11,88.81681164973682,211.03050384802674,110.9069929581737,102.44015764487064,110.14457822852697
2012-01-12,89.02434175460412,211.91180643934723,111.16971627527965,102.8466725155206,110.40884048759676
2012-01-13,88.5838561710679,210.63384283216138,110.61979594891498,102.15174834541176,109.83762848105205
2012-01-17,88.89859059041392,211.07449412782157,111.01238713917843,102.4686317073747,110.26393408696826
2012-01-18,89.88606983111211,214.1590318117943,112.26355739809411,103.9781753776981,111.48298461140737
2012-01-19,90.32998628824942,215.78947368421052,112.82097713685239,104.74059028456493,112.07124147505989
2012-01-20,90.39045858113496,215.5251042924633,112.89939782157312,104.59770507037194,112.4889744219985
2012-01-23,90.43306348827404,215.65731037398578,112.95433254162708,104.6920801107193,112.19910301858056
2012-01-24,90.34029568594069,216.0098527961629,112.84195110322148,104.8650227100601,112.07124147505989
2012-01-25,91.12437193622569,218.16903345207362,113.82142313849188,105.8541616959883,113.00899325505867
2012-01-26,90.60005224322931,216.71495902616599,113.17260812186363,105.14341717198367,112.42928393517195
2012-01-27,90.45573745243962,216.8030251283513,112.99829251183672,105.14816070364404,112.37816610732298
2012-01-30,90.2275969406338,215.56922288615158,112.71708283832638,104.57608563638661,111.99449775938821
2012-01-31,90.18636773831275,215.5251042924633,112.66563564988962,104.5238874793098,111.95189398835592
2012-02-01,90.98899083830922,218.3453795129333,113.69205522616063,105.85257837334451,112.93226628286158
2012-02-02,91.08863716473277,218.6537391844754,113.82591059176157,106.04924506725808,113.11130425639213
2012-02-03,92.41901921977069,222.26718673713378,115.50264506713957,107.94157951365865,114.69696152818362
2012-02-06,92.37984518623269,221.91464431495672,115.45569752613896,107.74069706229932,114.62023455598647
2012-02-07,92.56676488416146,222.35518868237247,115.69144734696093,107.876199873759,114.91010595940443
2012-02-08,92.76672861252955,223.06038045497112,115.98314400365581,108.17409623653865,115.25107844719675
2012-02-09,92.90347702682004,223.32474984671836,116.15545977037776,108.40240363824374,115.39606856519806
2012-02-10,92.26371556732474,221.60624187211678,115.35830271835408,107.46177482616118,114.54349921205204
2012-02-13,92.89111246034572,222.9281743734486,116.16794659686727,108.11452211299944,115.39606856519806
2012-02-14,92.8038390888405,222.57567472256935,116.07753904648325,107.96372672185855,115.25107844719675
2012-02-15,92.30425691723676,221.91464431495672,115.492158083955,107.66055261693303,114.71398127007959
2012-02-16,93.32197649859971,224.69075817044063,116.78280085981068,109.00401475270529,115.9842835701642
2012-02-17,93.5411833175323,225.30779829825835,117.05999865254459,109.23389260451235,116.29115797200356
2012-02-21,93.60852574606402,224.64670373369907,117.14690647714494,108.91331482304729,116.34235114548805
2012-02-22,93.29586327238904,223.6332378321539,116.76031481679637,108.39870921874164,115.96723871305635
2012-02-23,93.6944234127512,224.95517033348568,117.28177395856483,109.0635888762445,116.47877697624902
2012-02-24,93.8511027700152,225.21962526782852,117.49305008723401,109.21596115375823,116.73445820460391
2012-02-27,93.97822963902345,225.48397327392684,117.66286604982474,109.31034263037648,116.93052429176775
2012-02-28,94.2936519107785,225.7042240719858,118.07693116728355,109.3556925952055,117.2715721251956
2012-02-29,93.84698404400511,224.16201938694616,117.53749782410341,108.66814439155905,116.81123540722471
2012-03-01,94.42489750579684,225.5279421680728,118.26873321206234,109.34830375620128,117.4164785258241
2012-03-02,94.11841731535903,224.47048598673277,117.88962876994088,108.78730551117928,117.05845280918665
2012-03-05,93.75420785322774,223.06038045497112,117.44010301631853,108.13982953021595,116.58102100368421
2012-03-06,92.31319061010998,219.18258489621442,115.63850027604545,106.17948300911371,114.87599950171419
2012-03-07,92.95020904841323,220.9892659012458,116.47161792505891,107.04946087542169,115.67739242485024
2012-03-08,93.8627878725245,223.6332378321539,117.62640549200871,108.36074809291685,116.82826352085797
2012-03-09,94.2036271296372,225.13147362304755,118.05345739678323,109.04565742549038,117.28006106680043
2012-03-12,94.21874310574758,224.55857347456708,118.08043089306722,108.76674806189403,117.28859186709161
2012-03-13,95.92707489420914,228.78889006985196,120.262625763774,110.81355944639574,119.4028322591836
2012-03-14,95.81232098011921,228.216075463967,120.12227090743195,110.43974083196655,119.27492885697654
2012-03-15,96.3840521586738,230.06676813444216,120.84101946890138,111.41042059292603,119.96554695238623
2012-03-16,96.49194432556155,230.33661225230878,120.97687467780727,111.53485945469211,120.13162547660296
2012-03-19,96.87538848981333,230.95559847417672,121.45836134180949,111.79690578850531,120.60256918571125
2012-03-20,96.58471212789492,229.80592737476405,121.09524345196124,111.19898909354586,120.2514920110185
2012-03-21,96.4039831016473,229.5406811714118,120.87348034010749,111.1415131943232,120.05459712186368
2012-03-22,95.70924378009458,227.55074654092476,120.00888954737388,110.13076121068059,119.1897296866492
2012-03-23,96.00679027765918,228.47935418762012,120.38099453792796,110.51566308361612,119.57506401030325
2012-03-26,97.33992374233317,231.3534570863807,122.0532293658698,112.024672543454,121.25332106818007
2012-03-27,97.06573906134318,230.8228577514316,121.72208458056792,111.70831695570567,120.87651754481723
2012-03-28,96.58608783271295,228.92152386435254,121.14969040535544,110.82568538078942,120.27717650100224
2012-03-29,96.430784180267,228.70041764033746,120.95738839975039,110.68755013452774,120.07164197897151
2012-03-30,96.78742726589908,229.36371492673385,121.40541427089401,111.0555761051383,120.56833715196176
2012-04-02,97.5137826329346,231.132479176259,122.32495197784807,111.92344287458793,121.45025781602135
2012-04-03,97.12483564941068,230.29236534472705,121.86592696852716,111.39090581952813,120.95359612998024
2012-04-04,96.13391714666741,227.6392403560882,120.62524369279602,110.15606862789711,119.75491404235026
2012-04-05,96.07344485378188,226.9758575270962,120.59277062742339,109.91089819640887,119.6949221729815
2012-04-09,94.98220056065004,224.0131966562255,119.22571920431844,108.41032025146254,118.35061371531673
2012-04-10,93.35976643887567,219.90097161418666,117.18986652570209,106.36296822020441,116.36410091894885
