date,serie,titre,poids
2000-01-31,P1_reeq,ACN,0.0
2000-02-29,P1_reeq,ACN,0.0
2000-03-31,P1_reeq,ACN,0.0
2000-04-28,P1_reeq,ACN,0.0
2000-05-31,P1_reeq,ACN,0.0
2000-06-30,P1_reeq,ACN,0.0
2000-07-31,P1_reeq,ACN,0.0
2000-08-31,P1_reeq,ACN,0.0
2000-09-29,P1_reeq,ACN,0.0
2000-10-31,P1_reeq,ACN,0.0
2000-11-30,P1_reeq,ACN,0.0
2000-12-29,P1_reeq,ACN,0.0
2001-01-31,P1_reeq,ACN,0.0
2001-02-28,P1_reeq,ACN,0.0
2001-03-30,P1_reeq,ACN,0.0
2001-04-30,P1_reeq,ACN,0.0
2001-05-31,P1_reeq,ACN,0.0
2001-06-29,P1_reeq,ACN,0.0
2001-07-31,P1_reeq,ACN,0.010487797244564471
2001-08-31,P1_reeq,ACN,0.010989195794057128
2001-09-28,P1_reeq,ACN,0.011130240931313127
2001-10-31,P1_reeq,ACN,0.014194579988473809
2001-11-30,P1_reeq,ACN,0.016584301903891527
2001-12-31,P1_reeq,ACN,0.018618878276104783
2002-01-31,P1_reeq,ACN,0.010693468684255967
2002-02-28,P1_reeq,ACN,0.011274755188232748
2002-03-28,P1_reeq,ACN,0.01055009881964366
2002-04-30,P1_reeq,ACN,0.008881803881509451
2002-05-31,P1_reeq,ACN,0.008922109792929645
2002-06-28,P1_reeq,ACN,0.008719670020569635
2002-07-31,P1_reeq,ACN,0.00851471314481651
2002-08-30,P1_reeq,ACN,0.008439854948971965
2002-09-30,P1_reeq,ACN,0.008176149966312829
2002-10-31,P1_reeq,ACN,0.008957828179074711
2002-11-29,P1_reeq,ACN,0.008971794956478854
2002-12-31,P1_reeq,ACN,0.008950092613811805
2003-01-31,P1_reeq,ACN,0.009853010887100673
2003-02-28,P1_reeq,ACN,0.009005745296865755
2003-03-31,P1_reeq,ACN,0.008834917831385033
2003-04-30,P1_reeq,ACN,0.008255820225564
2003-05-30,P1_reeq,ACN,0.007647271433948137
2003-06-30,P1_reeq,ACN,0.007922067591893778
2003-07-31,P1_reeq,ACN,0.007966844865701133
2003-08-29,P1_reeq,ACN,0.008097035442910187
2003-09-30,P1_reeq,ACN,0.008771427632684424
2003-10-31,P1_reeq,ACN,0.00828731095008897
2003-11-28,P1_reeq,ACN,0.008418472177812797
2003-12-31,P1_reeq,ACN,0.008618844867573673
2004-01-30,P1_reeq,ACN,0.009093234458068486
2004-02-27,P1_reeq,ACN,0.008846515302756203
2004-03-31,P1_reeq,ACN,0.0094899669632343
2004-04-30,P1_reeq,ACN,0.009565017935321446
2004-05-28,P1_reeq,ACN,0.009554784584578712
2004-06-30,P1_reeq,ACN,0.010117160942936
2004-07-30,P1_reeq,ACN,0.009406862475361032
2004-08-31,P1_reeq,ACN,0.009992257401596243
2004-09-30,P1_reeq,ACN,0.009881257184721833
2004-10-29,P1_reeq,ACN,0.008454644490616676
2004-11-30,P1_reeq,ACN,0.008393153190291422
2004-12-31,P1_reeq,ACN,0.00836827352368369
2005-01-31,P1_reeq,ACN,0.009890702671074808
2005-02-28,P1_reeq,ACN,0.009350906486103759
2005-03-31,P1_reeq,ACN,0.008975679081666956
2005-04-29,P1_reeq,ACN,0.008318953291687775
2005-05-31,P1_reeq,ACN,0.00838405824921774
2005-06-30,P1_reeq,ACN,0.0079647946798613
2005-07-29,P1_reeq,ACN,0.008170809018051247
2005-08-31,P1_reeq,ACN,0.007946796088140773
2005-09-30,P1_reeq,ACN,0.008101881251478016
2005-10-31,P1_reeq,ACN,0.008572578001471064
2005-11-30,P1_reeq,ACN,0.008652628455870923
2005-12-30,P1_reeq,ACN,0.008796779357015096
2006-01-31,P1_reeq,ACN,0.009919945626052617
2006-02-28,P1_reeq,ACN,0.010170816771364263
2006-03-31,P1_reeq,ACN,0.009040490632351506
2006-04-28,P1_reeq,ACN,0.008542402913801652
2006-05-31,P1_reeq,ACN,0.008719020583221224
2006-06-30,P1_reeq,ACN,0.008736560254887728
2006-07-31,P1_reeq,ACN,0.009256647889146983
2006-08-31,P1_reeq,ACN,0.009075378711940564
2006-09-29,P1_reeq,ACN,0.009541641199148385
2006-10-31,P1_reeq,ACN,0.009314066874207959
2006-11-30,P1_reeq,ACN,0.009022703476132063
2006-12-29,P1_reeq,ACN,0.00993236217221666
2007-01-31,P1_reeq,ACN,0.009737107794924446
2007-02-28,P1_reeq,ACN,0.009074731698656259
2007-03-30,P1_reeq,ACN,0.00954929554184893
2007-04-30,P1_reeq,ACN,0.009211711534865509
2007-05-31,P1_reeq,ACN,0.009322856800176502
2007-06-29,P1_reeq,ACN,0.00968096000131497
2007-07-31,P1_reeq,ACN,0.009599843755069755
2007-08-31,P1_reeq,ACN,0.009235908274216779
2007-09-28,P1_reeq,ACN,0.008673464601815116
2007-10-31,P1_reeq,ACN,0.008121794265221883
2007-11-30,P1_reeq,ACN,0.00732723899842852
2007-12-31,P1_reeq,ACN,0.007546016930229352
2008-01-31,P1_reeq,ACN,0.009717218446441784
2008-02-29,P1_reeq,ACN,0.010054570854223439
2008-03-31,P1_reeq,ACN,0.010058283347790173
2008-04-30,P1_reeq,ACN,0.00991655920529964
2008-05-30,P1_reeq,ACN,0.010220485713760526
2008-06-30,P1_reeq,ACN,0.010909427985901705
2008-07-31,P1_reeq,ACN,0.011706442822803287
2008-08-29,P1_reeq,ACN,0.011450747175200187
2008-09-30,P1_reeq,ACN,0.012140464698843337
2008-10-31,P1_reeq,ACN,0.012884403503618256
2008-11-28,P1_reeq,ACN,0.013278456724786841
2008-12-31,P1_reeq,ACN,0.013475430561522894
2009-01-30,P1_reeq,ACN,0.009513501116129409
2009-02-27,P1_reeq,ACN,0.009678737456857656
2009-03-31,P1_reeq,ACN,0.008208285573401329
2009-04-30,P1_reeq,ACN,0.0075998891039733
2009-05-29,P1_reeq,ACN,0.007530693817890366
2009-06-30,P1_reeq,ACN,0.008203470052032688
2009-07-31,P1_reeq,ACN,0.007884824340846346
2009-08-31,P1_reeq,ACN,0.007088763724542629
2009-09-30,P1_reeq,ACN,0.0075764539883829765
2009-10-30,P1_reeq,ACN,0.007952188590835428
2009-11-30,P1_reeq,ACN,0.00820520305675879
2009-12-31,P1_reeq,ACN,0.007590563371609127
2010-01-29,P1_reeq,ACN,0.009866419198877745
2010-02-26,P1_reeq,ACN,0.00920052842315301
2010-03-31,P1_reeq,ACN,0.00911646529161779
2010-04-30,P1_reeq,ACN,0.009097550959041762
2010-05-28,P1_reeq,ACN,0.008511182879805597
2010-06-30,P1_reeq,ACN,0.009126742273975592
2010-07-30,P1_reeq,ACN,0.008710385338861131
2010-08-31,P1_reeq,ACN,0.008396915450930569
2010-09-30,P1_reeq,ACN,0.00878321647115787
2010-10-29,P1_reeq,ACN,0.00896377807268856
2010-11-30,P1_reeq,ACN,0.00858245216097102
2010-12-31,P1_reeq,ACN,0.008958277051490953
2011-01-31,P1_reeq,ACN,0.009355475211211781
2011-02-28,P1_reeq,ACN,0.00893999602455532
2011-03-31,P1_reeq,ACN,0.009523068610719138
2011-04-29,P1_reeq,ACN,0.009643799439671722
2011-05-31,P1_reeq,ACN,0.009852150685328152
2011-06-30,P1_reeq,ACN,0.010546006270833222
2011-07-29,P1_reeq,ACN,0.010787076309153279
2011-08-31,P1_reeq,ACN,0.01034347913097291
2011-09-30,P1_reeq,ACN,0.01092187103170783
2011-10-31,P1_reeq,ACN,0.011014033853713237
2011-11-30,P1_reeq,ACN,0.010541456932214697
2011-12-30,P1_reeq,ACN,0.009662930276897354
2012-01-31,P1_reeq,ACN,0.009010368678627055
2012-02-29,P1_reeq,ACN,0.009017961188801679
2012-03-30,P1_reeq,ACN,0.009557547736678915
2012-04-30,P1_reeq,ACN,0.009735954704723299
2012-05-31,P1_reeq,ACN,0.00917177597545764
2012-06-29,P1_reeq,ACN,0.009229661380098286
2012-07-31,P1_reeq,ACN,0.009151928218979389
2012-08-31,P1_reeq,ACN,0.009165822449786558
2012-09-28,P1_reeq,ACN,0.0103671181083109
2012-10-31,P1_reeq,ACN,0.01013613685366592
2012-11-30,P1_reeq,ACN,0.010015045961787346
2012-12-31,P1_reeq,ACN,0.009525199320319559
2013-01-31,P1_reeq,ACN,0.008775274207938976
2013-02-28,P1_reeq,ACN,0.00893819199606872
2013-03-28,P1_reeq,ACN,0.008841250338305736
2013-04-30,P1_reeq,ACN,0.009224839492863783
2013-05-31,P1_reeq,ACN,0.009019595616780807
2013-06-28,P1_reeq,ACN,0.007900088743283996
2013-07-31,P1_reeq,ACN,0.007673763998393356
2013-08-30,P1_reeq,ACN,0.007661546176153094
2013-09-30,P1_reeq,ACN,0.007378281835121902
2013-10-31,P1_reeq,ACN,0.0071884430765523566
