serie,base100,annualise,rotation_annuelle,cout_annualise_pb,repli_maximal
P1_reeq,9991.058753733852,0.18882950152198053,0.2506594346562027,2.9806116727493226,-0.5169428503538043
P1_cons,10018.861250332406,0.1889536148579143,0.046006248153020284,0.5470105263083447,-0.5306548042990918
P10_reeq,3662.962107949225,0.14485009426674011,0.18410070233507123,2.1080668237249967,-0.5681765275030257
P10_cons,5626.771751449539,0.16346182566688472,0.026373170617871294,0.30685575687972033,-0.6217937645019109
P2_reeq,10990.929822348613,0.19309688608383913,0.25965058752878756,3.09862490168733,-0.5554219076813267
P2_cons,10903.34106629503,0.1927383209025315,0.0481423312659214,0.5742318730006524,-0.5510129295818882
P3_reeq,3917.4774545132277,0.14774288536410163,0.1726916348638062,1.9824395390366512,-0.4481623248638108
P3_cons,4357.123577097548,0.15233820170497459,0.034542106790689385,0.3980575520667884,-0.5153629767071792
P4_reeq,47977.33203024789,0.2610105160830958,0.3625132578499808,4.5731183823516375,-0.7059694922694201
P4_cons,5902.886637803514,0.16555756324797466,0.07015876185083254,0.8178833763583526,-0.8653278415732543
P5_reeq,15476.445537020812,0.2085359199112189,0.3049479727519369,3.6864672903069717,-0.7263703323502795
P5_cons,25576.60352886159,0.2315601719771041,0.04908299143383337,0.6045223623463158,-0.730755185181339
P6_reeq,2032.545374246355,0.11979689266132598,0.13059393114292864,1.4625910676091536,-0.4499188520784271
P6_cons,1923.6851551151394,0.11748362955758296,0.0432800954815524,0.48367006981964167,-0.4461668556395293
P7_reeq,7656.16800185068,0.17700095907142077,0.17206605624786914,2.025545730699463,-0.5401501738397574
P7_cons,7419.047429289765,0.17561068889448728,0.0382334660172482,0.44949852763487286,-0.5374836271830341
P8_reeq,6731.429123403932,0.17132296940049563,0.25626788888000884,3.002594713843454,-0.6452115170006858
P8_cons,2588.94376302594,0.13002199340935916,0.08562007832895163,0.9676984163720093,-0.5964859633433889
P9_reeq,5007.985529136249,0.15838089265221034,0.23510505675516954,2.7241335307004455,-0.7234112199872911
P9_cons,2284.3814903604502,0.12472144389729678,0.041942347923794365,0.4717816027066668,-0.7313079799455589
