date,nasdaq,yahoo,split,div,rn,ry,ecart_r,ratio_prix,titre,traitement
2018-12-21,21.4289,28.83051872253418,0.0,0.0,-0.062815982366216,-0.0065757732435418,-0.0562402091226741,1.345403577530073,DELL,hors_historique_admissible
2018-12-24,21.4289,22.59181022644043,0.0,0.0,0.0,-0.2163925164210632,0.2163925164210632,1.054268311786439,DELL,hors_historique_admissible
2018-12-26,22.8195,22.768617630004883,0.0,0.0,0.0648936716303685,0.0078261724842891,0.0570674991460793,0.9977702241506116,DELL,hors_historique_admissible
2018-12-27,22.662,22.451488494873047,0.0,0.0,-0.00690199171761,-0.0139283438408627,0.0070263521232526,0.9907108152357712,DELL,non_arbitree
2018-12-28,23.0837,23.025848388671875,1.806,0.0,0.0186082428735328,0.0255822634623974,-0.0069740205888646,0.9974938328202096,DELL,non_arbitree
2019-08-13,25.1619,25.098833084106445,0.0,0.0,0.0002027284869299,0.0012130343327594,-0.0010103058458295,0.997493555101421,DELL,non_arbitree
2021-11-02,54.61,54.61000061035156,1.973,0.0,-0.0361807271443699,-0.0337590417507517,-0.0024216853936182,1.000000011176553,DELL,convention_scission_ou_veille_documentee
2021-07-01,111.88,111.87999725341795,1.175,0.0,0.0052111410601975,0.0143440914941816,-0.0091329504339841,0.9999999754506432,DTE,convention_scission_ou_veille_documentee
2024-01-02,21.2682,22.833459854125977,0.0,0.0,-0.0400920723038386,-0.0052528043485559,-0.0348392679552826,1.0735962542258384,FLEX,convention_scission_ou_veille_documentee
2024-01-03,23.74,23.739999771118164,1.327,0.0,0.1162204605937502,0.0397022581239863,0.0765182024697639,0.9999999903588108,FLEX,convention_scission_ou_veille_documentee
2017-04-03,13.7466,13.63072109222412,1.3348,0.0,-0.0238938869993111,-0.0104457147541334,-0.0134481722451776,0.9915703586504384,HPE,convention_scission_ou_veille_documentee
2017-09-01,14.31,14.3100004196167,1.289,0.0,0.0127388535031847,0.0213505090340622,-0.0086116555308775,1.000000029323319,HPE,convention_scission_ou_veille_documentee
2021-11-04,120.85,120.8499984741211,1.046,0.0,-0.0178789110117838,-0.0056706096136025,-0.0122083013981812,0.9999999873737784,IBM,convention_scission_ou_veille_documentee
2016-10-31,40.32,40.31999969482422,0.0,4.7,0.0262153219648766,-0.0786105749235426,0.1048258968884192,0.9999999924311562,JCI,convention_scission_ou_veille_documentee
2024-04-01,94.02,94.0199966430664,1.196,0.0,0.0326194398682042,0.0601292743956882,-0.027509834527484,0.9999999642955372,MMM,convention_scission_ou_veille_documentee
2021-11-15,71.14,71.13999938964844,1.032,0.0,-0.0032226425669049,0.009299950295198,-0.012522592862103,0.9999999914204166,O,convention_scission_ou_veille_documentee
2019-10-11,1.876,1.8910000324249268,0.0,0.0,-0.0126315789473684,-0.004736812550605,-0.0078947663967633,1.007995752891752,SMCI,non_arbitree
2019-10-14,1.875,1.875,0.0,0.0,-0.0005330490405116,-0.008461148678252,0.0079280996377404,1.0,SMCI,non_arbitree
2020-01-14,2.7,2.7720000743865967,0.0,0.0,-0.0529638723254997,-0.0277095735635866,-0.025254298761913,1.026666694217258,SMCI,non_arbitree
2020-01-15,2.77,2.7699999809265137,0.0,0.0,0.0259259259259259,-0.000721534417897,0.0266474603438229,0.9999999931142648,SMCI,non_arbitree
2026-04-20,710.14,708.719970703125,0.0,0.0,0.0,-0.0019996675529057,0.0019996675529057,0.9980003530333807,SPY,cours_nasdaq_fige_documente_audit_precedent
2026-04-21,704.08,704.0800170898438,0.0,0.0,-0.0085335285999943,-0.0065469491549362,-0.001986579445058,1.000000024272588,SPY,cours_nasdaq_fige_documente_audit_precedent
2019-08-12,10.23,10.1899995803833,0.0,0.0,0.0039254170755642,0.0,0.0039254170755642,0.9960898905555524,VRT,hors_historique_admissible
2019-08-13,10.23,10.229999542236328,0.0,0.0,0.0,0.0039254134936403,-0.0039254134936403,0.999999955252818,VRT,hors_historique_admissible
2023-02-16,16.03,16.149999618530273,0.0,0.0,-0.0024891101431238,0.0049782156331852,-0.007467325776309,1.007485940020603,VRT,non_arbitree
2023-02-17,16.06,16.059999465942383,0.0,0.0,0.0018714909544601,-0.0055727649977542,0.0074442559522144,0.9999999667461013,VRT,non_arbitree
2025-02-24,49.02,49.02000045776367,1.323,0.0,-0.0682379775708039,-0.0561277989383043,-0.0121101786324996,1.000000009338304,WDC,convention_scission_ou_veille_documentee
2016-10-03,140.57,140.57000732421875,1.081,0.0,0.0052202517162469,0.0107501139678192,-0.0055298622515722,1.0000000521037118,APD,convention_scission_ou_veille_documentee
2017-01-17,106.39,105.56999969482422,0.0,0.0,0.0077673581509898,0.0,0.0077673581509898,0.9922925058259632,SBAC,cours_yahoo_porte_et_reprise_cumulee
2017-01-18,107.06,107.05999755859376,0.0,0.0,0.0062975843594323,0.0141138379092236,-0.0078162535497912,0.9999999771959066,SBAC,cours_yahoo_porte_et_reprise_cumulee
2018-11-13,18.56,18.559999465942383,1.837,0.0,-0.0174695606140816,-0.0157414050457744,-0.0017281555683071,0.999999971225344,EQT,convention_scission_ou_veille_documentee
